iloc,Bestandskonto,Bewertungsklasse,Einzelpostenanzeige moeglich,Erfolgskontentyp,Geschaeftsbereich,Gruppenkennzeichen,KZ EKBE,Kennzeichen: Posten nicht kopierbar ?,Kostenstelle,Kreditkontr_Bereich,Laufende Kontierung,PartnerPrctr,Profitcenter,Rechnungsbezug,Soll/Haben-Kennz_,Sperrgrund Menge,Steuerkennzeichen,Bewertungskreis,Steuerstandort,Umsatzwirksam,Verwaltung offener Posten,Werk,Zahlungsbedingung,Zahlungssperre,Alternative Kontonummer,Basismengeneinheit,BestPreisMngEinheit,Bestandsbuchung,Bestellmengeneinheit,Buchungsschluessel,Buchungszeilen-Id,ErfassungsMngEinh,Hauptbuchkonto,Kontoart,Kostenart,Kreditor,Material,Preissteuerung,Sachkonto,Vorgang,Vorgangsart GL,Wertestring,Betrag Hauswaehr,Betrag,Betrag_5,Gesamtbestand,Gesamtwert,Kreditkontr_betrag,Menge in BPME,Menge in ErfassME,Menge,Skontobasis,Label,Belegnummer,Position,Transaktionsart,Erfassungsuhrzeit
361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_2,5000000007,1,Materialzugang,13:42:17
362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_2,5000000007,2,Sachkontenbuchung,13:42:17
684,,X,,,,,X,,,,X,,X,,,,X,,X,,,,,,X,,,X,X,,,,X,,,X,X,,,,,,X,X,,X,X,,X,X,X,,Fraud_Larceny_4,5000000008,1,Materialzugang,13:44:55
685,,X,,,,,X,,,,X,,X,,,,X,,X,,,,,,,,,X,X,,,,,,,X,X,,,,,,X,X,,X,X,,X,X,X,,Fraud_Larceny_4,5000000008,2,Sachkontenbuchung,13:44:55
1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_2,5000000009,1,Materialzugang,13:48:10
1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_2,5000000009,2,Sachkontenbuchung,13:48:10
1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_2,5000000009,3,Materialzugang,13:48:10
1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Invoice_Kickback_2,5000000009,4,Sachkontenbuchung,13:48:10
2494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_2,5000000016,1,Materialzugang,14:04:58
2495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_2,5000000016,2,Sachkontenbuchung,14:04:58
2496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_2,5000000016,3,Materialzugang,14:04:58
2497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_2,5000000016,4,Sachkontenbuchung,14:04:58
2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_2,5000000016,5,Materialzugang,14:04:58
2499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_2,5000000016,6,Sachkontenbuchung,14:04:58
2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_2,5000000016,7,Materialzugang,14:04:58
2501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,Fraud_Larceny_2,5000000016,8,Sachkontenbuchung,14:04:58
