cpus,n_layers,n_bottleneck,epochs,batch_size,verbose,learning_rate,shuffle,n_inputs,seed,max_fraud_eval,min_detect_eval,max_fraud_test,min_detect_test,fraud_ranks_eval,rank_mean_eval,rank_std_eval,fraud_ranks_test,rank_mean_test,rank_std_test,auc_pr_eval,auc_pr_test,auc_roc_eval,auc_roc_test
8.0,4.0,16.0,100.0,32.0,2.0,0.0001,1.0,193.0,0.0,-3.096038e-05,2390.0,-3.110609e-05,1469.0,"[2, 3, 8, 9, 11, 12, 13, 14, 15, 16, 19, 21, 39, 40, 41, 43, 153, 154, 155, 156, 158, 163, 166, 170, 1017, 1018, 1115, 1116, 1271, 1300, 1343, 1362, 1370, 1399, 1414, 1484, 1506, 1521, 1529, 1583, 1597, 1607, 1633, 1637, 1749, 1863, 1877, 1903, 1923, 2390]",822.16,761.0898070530179,"[1, 2, 4, 5, 6, 7, 9, 10, 16, 17, 24, 25, 26, 28, 29, 31, 32, 33, 34, 39, 42, 45, 51, 52, 53, 54, 68, 69, 87, 100, 142, 145, 168, 169, 183, 187, 246, 254, 300, 349, 359, 361, 379, 380, 385, 400, 402, 406, 407, 413, 441, 445, 476, 484, 537, 538, 547, 554, 581, 619, 638, 692, 695, 696, 705, 706, 707, 708, 724, 725, 758, 759, 810, 869, 870, 871, 881, 889, 945, 1045, 1046, 1047, 1048, 1052, 1201, 1469]",404.7906976744186,361.9086392575904,0.1921920222357783,0.274986940516021,0.9783091918971902,0.9903193725335756
8.0,3.0,16.0,100.0,32.0,2.0,0.0001,1.0,193.0,0.0,-6.731814e-05,2135.0,-7.602321e-05,1189.0,"[1, 2, 7, 9, 21, 23, 24, 25, 26, 27, 33, 37, 40, 42, 49, 50, 157, 160, 161, 164, 167, 168, 170, 174, 1049, 1052, 1168, 1212, 1242, 1246, 1264, 1280, 1314, 1321, 1335, 1373, 1380, 1463, 1495, 1513, 1527, 1542, 1690, 1730, 1953, 1958, 1992, 2016, 2019, 2135]",820.12,755.7211559828136,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 20, 21, 24, 25, 32, 33, 35, 36, 39, 40, 41, 43, 56, 58, 61, 62, 68, 69, 72, 73, 85, 89, 123, 129, 140, 155, 199, 209, 211, 226, 228, 285, 309, 316, 318, 323, 324, 331, 332, 335, 336, 388, 417, 418, 424, 430, 432, 436, 437, 472, 500, 523, 539, 540, 541, 576, 607, 644, 711, 712, 715, 730, 731, 745, 777, 818, 819, 826, 827, 828, 908, 1043, 1117, 1154, 1179, 1189]",350.3139534883721,331.51583713363743,0.1669751064523512,0.3034575633125434,0.9783647353517751,0.9917790532545115
8.0,2.0,16.0,100.0,32.0,2.0,0.0001,1.0,193.0,0.0,-0.00025917613,2312.0,-0.00018492801,1748.0,"[2, 3, 7, 8, 11, 12, 13, 14, 15, 16, 28, 29, 35, 36, 40, 41, 156, 159, 161, 164, 178, 180, 182, 183, 823, 1170, 1378, 1384, 1390, 1402, 1699, 1700, 1703, 1744, 1748, 1754, 1970, 1997, 2003, 2037, 2056, 2144, 2146, 2158, 2252, 2272, 2276, 2283, 2290, 2312]",995.28,934.3763276110968,"[1, 2, 4, 5, 6, 7, 8, 10, 11, 13, 19, 21, 22, 24, 32, 33, 34, 35, 40, 41, 45, 47, 59, 61, 64, 66, 69, 73, 74, 77, 81, 84, 86, 98, 102, 103, 105, 242, 263, 264, 500, 501, 502, 503, 508, 509, 515, 521, 775, 785, 899, 901, 915, 916, 919, 920, 923, 966, 973, 1020, 1083, 1084, 1139, 1140, 1142, 1143, 1148, 1151, 1229, 1245, 1249, 1250, 1278, 1279, 1288, 1289, 1378, 1379, 1392, 1393, 1476, 1482, 1494, 1537, 1586, 1748]",597.7209302325581,558.3630487533072,0.1855775344630039,0.2757763917737322,0.973595621868874,0.9851498906719393
8.0,4.0,32.0,100.0,32.0,2.0,0.0001,1.0,193.0,0.0,-2.044613e-05,2398.0,-2.1800466e-05,1390.0,"[1, 2, 7, 8, 12, 13, 14, 15, 18, 19, 20, 21, 35, 36, 42, 43, 150, 153, 154, 159, 161, 163, 166, 167, 998, 999, 1041, 1049, 1050, 1106, 1121, 1220, 1272, 1299, 1349, 1373, 1379, 1388, 1410, 1425, 1469, 1554, 1595, 1602, 1644, 1649, 1687, 1935, 1938, 2398]",770.58,718.7412633208143,"[1, 2, 4, 5, 6, 7, 8, 9, 13, 14, 16, 17, 21, 23, 24, 25, 26, 27, 28, 31, 34, 37, 48, 49, 50, 61, 63, 69, 70, 80, 104, 108, 113, 143, 144, 150, 156, 157, 175, 176, 200, 213, 227, 233, 242, 243, 268, 286, 287, 290, 304, 311, 314, 331, 339, 348, 349, 360, 433, 443, 447, 453, 456, 491, 492, 500, 527, 551, 559, 581, 618, 649, 688, 698, 730, 731, 773, 776, 777, 796, 797, 825, 826, 953, 1324, 1390]",310.7325581395349,310.2886662155548,0.2056268617492548,0.3316919443505066,0.9797135700283162,0.9928396195670124
8.0,3.0,32.0,100.0,32.0,2.0,0.0001,1.0,193.0,0.0,-1.48026775e-05,2355.0,-1.8415512e-05,1205.0,"[2, 3, 8, 9, 12, 13, 14, 15, 16, 17, 23, 24, 35, 38, 41, 42, 153, 154, 156, 159, 160, 163, 164, 168, 998, 1000, 1044, 1111, 1223, 1226, 1245, 1283, 1302, 1305, 1309, 1313, 1342, 1422, 1464, 1477, 1492, 1581, 1644, 1652, 1667, 1709, 1732, 1834, 1934, 2355]",785.06,726.6671152598003,"[1, 2, 4, 5, 6, 7, 9, 10, 13, 14, 16, 17, 18, 19, 22, 23, 24, 25, 36, 42, 43, 46, 49, 50, 58, 67, 69, 70, 71, 73, 93, 98, 137, 138, 141, 142, 150, 170, 172, 191, 198, 215, 235, 244, 246, 253, 270, 315, 327, 340, 352, 366, 380, 413, 421, 422, 435, 446, 447, 448, 454, 457, 476, 579, 580, 588, 589, 620, 621, 656, 696, 697, 776, 806, 807, 818, 819, 844, 869, 871, 944, 950, 951, 973, 1161, 1205]",336.2906976744186,324.5402066422899,0.1857339002910383,0.3200720490723128,0.9793193204094968,0.992154800308823
8.0,2.0,32.0,100.0,32.0,2.0,0.0001,1.0,193.0,0.0,-1.5064426e-05,2320.0,-1.6987495e-05,1349.0,"[2, 3, 7, 8, 12, 13, 14, 15, 16, 17, 18, 19, 36, 37, 41, 43, 153, 155, 158, 160, 161, 162, 166, 170, 1004, 1009, 1052, 1102, 1260, 1277, 1280, 1289, 1317, 1319, 1320, 1344, 1353, 1388, 1401, 1446, 1511, 1526, 1639, 1671, 1672, 1762, 1776, 1853, 2248, 2320]",794.5,739.8240128571118,"[1, 3, 4, 5, 6, 7, 9, 12, 16, 18, 22, 23, 24, 25, 30, 31, 32, 33, 43, 47, 50, 51, 52, 56, 59, 64, 72, 75, 76, 83, 101, 128, 158, 165, 178, 219, 223, 251, 252, 325, 329, 330, 333, 344, 365, 369, 395, 403, 426, 443, 466, 471, 484, 492, 497, 507, 508, 509, 511, 516, 534, 559, 588, 589, 590, 614, 615, 626, 627, 673, 703, 704, 782, 783, 851, 852, 910, 911, 933, 1015, 1026, 1027, 1136, 1143, 1331, 1349]",386.0232558139535,352.80622445941435,0.1931837424662266,0.2709609324381939,0.9790622957961228,0.9908222379943208
8.0,4.0,16.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-2.4500348e-05,2149.0,-3.281716e-05,1145.0,"[2, 4, 6, 7, 13, 14, 15, 18, 19, 21, 22, 25, 26, 28, 52, 53, 157, 158, 160, 161, 165, 168, 172, 175, 1045, 1056, 1068, 1102, 1132, 1156, 1157, 1181, 1186, 1226, 1251, 1252, 1259, 1300, 1424, 1438, 1461, 1522, 1587, 1601, 1754, 1761, 1798, 1800, 1982, 2149]",765.78,706.5652493577645,"[1, 2, 4, 5, 6, 7, 9, 10, 12, 13, 17, 19, 20, 25, 28, 30, 33, 34, 35, 36, 40, 41, 43, 52, 83, 85, 88, 89, 96, 105, 108, 119, 145, 152, 162, 172, 187, 200, 201, 209, 213, 225, 226, 232, 233, 237, 242, 245, 271, 273, 278, 325, 326, 359, 374, 375, 391, 392, 400, 405, 410, 411, 418, 424, 426, 434, 435, 436, 440, 469, 470, 482, 551, 594, 662, 663, 692, 710, 711, 808, 809, 886, 941, 1077, 1116, 1145]",294.9418604651163,281.2288381558551,0.1816918156438138,0.3119898376056174,0.9798442605096928,0.9932627244590144
8.0,3.0,16.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-2.5823309e-05,4003.0,-2.871681e-05,2420.0,"[2, 4, 8, 9, 11, 12, 13, 14, 15, 16, 20, 21, 23, 25, 32, 33, 153, 154, 158, 159, 162, 166, 168, 169, 1041, 1055, 1285, 1415, 1426, 1544, 1710, 1799, 1809, 1816, 1994, 1999, 2034, 2051, 2179, 2184, 2189, 2228, 2243, 2538, 2544, 2609, 2613, 2637, 3533, 4003]",1120.5,1123.0678919816023,"[2, 3, 6, 7, 8, 9, 13, 14, 15, 17, 19, 22, 29, 30, 31, 32, 33, 34, 35, 36, 37, 42, 80, 81, 90, 94, 121, 134, 136, 145, 174, 179, 180, 190, 212, 219, 324, 349, 350, 351, 425, 449, 450, 488, 507, 525, 541, 556, 617, 642, 672, 859, 862, 885, 886, 893, 894, 905, 908, 1012, 1013, 1018, 1020, 1102, 1142, 1168, 1169, 1181, 1182, 1200, 1201, 1279, 1308, 1337, 1345, 1648, 1652, 1695, 1696, 1728, 1729, 1778, 1961, 1962, 2092, 2420]",649.8255813953489,630.9865327103831,0.1979383322790473,0.2146069164359592,0.9701862339359616,0.9837537691542202
8.0,2.0,16.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-6.0293707e-05,3820.0,-6.612282e-05,2682.0,"[1, 3, 7, 9, 14, 15, 19, 20, 21, 22, 23, 24, 25, 26, 33, 34, 158, 161, 162, 166, 168, 169, 171, 172, 1023, 1025, 1124, 1141, 1166, 1202, 1209, 1224, 1249, 1259, 1262, 1267, 1281, 1286, 1292, 1341, 1369, 1598, 1601, 1756, 1862, 2191, 2302, 2604, 2605, 3820]",853.64,884.5851854965694,"[2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 18, 20, 23, 25, 28, 31, 32, 33, 34, 35, 36, 40, 49, 52, 56, 57, 75, 76, 101, 102, 121, 135, 142, 152, 153, 156, 166, 177, 211, 212, 213, 218, 300, 311, 329, 332, 333, 336, 337, 356, 358, 363, 367, 371, 372, 407, 409, 410, 419, 434, 435, 447, 466, 467, 478, 484, 485, 496, 523, 528, 800, 839, 901, 994, 1024, 1025, 1054, 1055, 1091, 1113, 1243, 1248, 1312, 1313, 2456, 2682]",401.7906976744186,493.3408679670578,0.1923397116915718,0.2899245941539292,0.9774520801568286,0.9903997562317618
8.0,4.0,32.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-0.00041781482,1734.0,-0.0003924501,842.0,"[1, 3, 8, 9, 11, 12, 13, 14, 17, 18, 19, 22, 26, 29, 49, 50, 80, 91, 102, 180, 187, 188, 191, 194, 195, 203, 246, 253, 273, 285, 303, 313, 325, 327, 332, 345, 351, 645, 980, 988, 1021, 1375, 1426, 1436, 1590, 1642, 1663, 1717, 1719, 1734]",464.02,580.3445352547053,"[2, 3, 4, 6, 7, 8, 9, 10, 14, 17, 19, 20, 22, 23, 26, 27, 31, 32, 36, 54, 55, 56, 59, 63, 65, 67, 68, 100, 101, 104, 110, 111, 116, 117, 131, 145, 148, 149, 155, 160, 174, 183, 185, 190, 198, 203, 212, 213, 222, 227, 239, 255, 280, 299, 302, 313, 314, 315, 325, 326, 332, 333, 349, 381, 382, 388, 393, 398, 429, 480, 485, 486, 490, 527, 533, 577, 582, 624, 625, 652, 653, 696, 749, 778, 815, 842]",248.88372093023256,224.41823593173703,0.229924967630349,0.3090547667202099,0.988060335438902,0.994496832321475
