cpus,n_layers,n_bottleneck,epochs,batch_size,verbose,learning_rate,shuffle,n_inputs,seed,max_fraud_eval,min_detect_eval,max_fraud_test,min_detect_test,fraud_ranks_eval,rank_mean_eval,rank_std_eval,fraud_ranks_test,rank_mean_test,rank_std_test,auc_pr_eval,auc_pr_test,auc_roc_eval,auc_roc_test
8.0,4.0,16.0,100.0,32.0,2.0,0.0001,1.0,193.0,0.0,-0.0011750477,1997.0,-0.0012567315,1094.0,"[2, 3, 12, 13, 37, 48, 49, 52, 64, 70, 71, 72, 81, 82, 103, 104, 117, 132, 161, 163, 166, 209, 220, 228, 340, 342, 364, 365, 376, 381, 426, 448, 450, 455, 548, 550, 559, 576, 1032, 1127, 1241, 1374, 1420, 1560, 1607, 1610, 1920, 1936, 1961, 1997]",544.48,616.029357741983,"[2, 3, 13, 14, 16, 17, 24, 25, 28, 32, 34, 35, 37, 39, 40, 46, 52, 57, 81, 88, 93, 94, 108, 159, 176, 181, 182, 192, 205, 230, 234, 240, 249, 280, 282, 291, 301, 304, 311, 353, 360, 367, 368, 369, 382, 384, 393, 394, 395, 409, 415, 426, 434, 453, 460, 461, 462, 467, 468, 469, 517, 518, 526, 531, 539, 544, 545, 546, 547, 549, 555, 556, 564, 565, 758, 783, 852, 962, 1019, 1021, 1022, 1030, 1031, 1092, 1093, 1094]",381.8953488372093,303.1264234325636,0.1174550811799405,0.1732243414756041,0.9858696362448268,0.9909328434705068
8.0,3.0,16.0,100.0,32.0,2.0,0.0001,1.0,193.0,0.0,-0.0020911593,2447.0,-0.0019043252,2086.0,"[1, 2, 10, 11, 32, 38, 61, 62, 64, 66, 71, 78, 79, 80, 90, 91, 95, 96, 150, 156, 202, 208, 212, 213, 222, 233, 242, 244, 264, 266, 270, 321, 353, 426, 432, 435, 519, 569, 790, 810, 1323, 1357, 1594, 1612, 1655, 1924, 1962, 1985, 2437, 2447]",537.2,690.6642020548046,"[1, 2, 6, 8, 13, 14, 18, 20, 21, 22, 23, 26, 30, 31, 54, 56, 61, 67, 87, 91, 94, 95, 119, 121, 125, 126, 131, 140, 144, 149, 150, 151, 157, 158, 166, 168, 188, 189, 199, 208, 209, 284, 285, 289, 293, 294, 318, 322, 334, 335, 348, 349, 402, 403, 404, 405, 409, 410, 479, 499, 552, 556, 583, 584, 835, 836, 851, 1161, 1220, 1221, 1235, 1243, 1368, 1406, 1413, 1419, 1420, 1471, 1485, 1531, 1654, 1664, 1961, 2041, 2079, 2086]",518.3139534883721,586.4922185020358,0.1461687506231863,0.2041158443358799,0.9860678501415814,0.9872775661560952
8.0,2.0,16.0,100.0,32.0,2.0,0.0001,1.0,193.0,0.0,-0.0035738838,2659.0,-0.003342774,2563.0,"[1, 3, 8, 9, 28, 31, 46, 48, 64, 70, 73, 74, 81, 82, 84, 85, 96, 102, 183, 184, 338, 341, 398, 400, 404, 409, 522, 550, 807, 864, 969, 1009, 1105, 1185, 1329, 1331, 1551, 2009, 2111, 2135, 2139, 2146, 2155, 2163, 2220, 2226, 2267, 2537, 2652, 2659]",885.66,910.1120504641174,"[1, 2, 14, 16, 18, 19, 21, 22, 23, 24, 25, 27, 29, 30, 68, 71, 72, 77, 83, 89, 91, 92, 93, 94, 104, 112, 114, 115, 344, 346, 347, 353, 356, 357, 358, 360, 361, 365, 491, 507, 508, 511, 557, 564, 654, 691, 719, 774, 778, 787, 788, 838, 839, 953, 1035, 1061, 1062, 1063, 1123, 1148, 1159, 1304, 1305, 1311, 1312, 1534, 1947, 1987, 1988, 2010, 2039, 2118, 2119, 2142, 2192, 2193, 2266, 2270, 2312, 2313, 2364, 2383, 2384, 2385, 2418, 2563]",870.4883720930233,840.2862433689036,0.1212918534615432,0.15143949363018,0.976580265737312,0.9778412054314454
8.0,4.0,32.0,100.0,32.0,2.0,0.0001,1.0,193.0,0.0,-0.00044683588,1999.0,-0.00047744135,1121.0,"[1, 2, 10, 13, 39, 49, 66, 67, 68, 69, 72, 85, 86, 87, 88, 92, 111, 142, 144, 148, 149, 153, 182, 209, 234, 288, 291, 297, 363, 370, 377, 379, 386, 400, 429, 488, 550, 560, 1426, 1454, 1460, 1514, 1549, 1553, 1857, 1867, 1950, 1990, 1991, 1999]",563.08,673.2357934631818,"[1, 3, 12, 17, 18, 19, 30, 31, 38, 42, 43, 45, 46, 48, 49, 55, 61, 62, 73, 120, 130, 140, 145, 162, 173, 174, 194, 201, 205, 210, 213, 235, 261, 277, 305, 306, 336, 337, 338, 343, 367, 369, 375, 385, 388, 391, 405, 410, 425, 426, 432, 437, 439, 440, 447, 448, 464, 491, 501, 521, 525, 526, 529, 530, 533, 534, 538, 551, 555, 576, 617, 664, 665, 670, 701, 727, 728, 826, 829, 830, 1008, 1017, 1018, 1023, 1119, 1121]",383.9418604651163,288.2830631979118,0.1380634530971053,0.1652085370474798,0.9853632106294924,0.9908780080794964
8.0,3.0,32.0,100.0,32.0,2.0,0.0001,1.0,193.0,0.0,-0.0004943924,2000.0,-0.0005426834,1123.0,"[1, 3, 9, 10, 32, 43, 53, 54, 58, 59, 61, 62, 64, 69, 75, 76, 95, 105, 133, 137, 171, 190, 208, 263, 272, 287, 338, 351, 368, 388, 389, 441, 490, 550, 571, 597, 638, 644, 995, 1524, 1540, 1545, 1615, 1627, 1659, 1795, 1857, 1946, 1980, 2000]",568.76,657.7596995864067,"[2, 3, 17, 19, 20, 21, 22, 24, 25, 26, 27, 33, 35, 36, 46, 52, 61, 62, 64, 76, 78, 91, 97, 102, 105, 131, 133, 136, 150, 168, 220, 221, 223, 229, 261, 262, 263, 273, 284, 287, 315, 319, 325, 331, 332, 334, 337, 355, 357, 374, 413, 446, 453, 463, 474, 481, 500, 528, 543, 563, 564, 567, 579, 580, 596, 603, 611, 612, 624, 769, 770, 779, 851, 852, 947, 980, 999, 1000, 1004, 1005, 1032, 1044, 1071, 1085, 1086, 1123]",399.54651162790697,338.0155719880904,0.1390500705561588,0.1775614816379037,0.98520856022653,0.9904598882230404
8.0,2.0,32.0,100.0,32.0,2.0,0.0001,1.0,193.0,0.0,-0.00013254696,2976.0,-0.00020334759,1907.0,"[2, 3, 8, 10, 30, 31, 48, 50, 52, 55, 56, 57, 58, 60, 68, 69, 104, 112, 196, 198, 204, 209, 212, 217, 219, 220, 238, 249, 1660, 1787, 1842, 1927, 1933, 1955, 1997, 2005, 2016, 2019, 2050, 2077, 2079, 2089, 2091, 2117, 2125, 2136, 2137, 2338, 2739, 2976]",982.6,1005.4083946337428,"[2, 3, 8, 11, 13, 17, 20, 21, 22, 24, 25, 26, 29, 32, 41, 53, 64, 74, 76, 130, 131, 132, 136, 137, 141, 143, 150, 156, 160, 161, 162, 176, 177, 198, 207, 208, 210, 243, 244, 263, 276, 300, 308, 341, 438, 446, 544, 561, 589, 686, 687, 825, 835, 857, 858, 863, 880, 882, 1000, 1033, 1044, 1065, 1066, 1087, 1133, 1136, 1165, 1190, 1197, 1198, 1213, 1297, 1298, 1375, 1376, 1387, 1391, 1423, 1424, 1460, 1461, 1465, 1466, 1474, 1484, 1907]",600.1976744186046,544.1401755910567,0.1228174839838091,0.1656720598768313,0.973940862557177,0.9850835273862276
8.0,4.0,16.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-0.0012233428,2149.0,-0.0016742953,1203.0,"[3, 4, 10, 11, 40, 41, 54, 60, 61, 75, 99, 101, 102, 108, 111, 112, 116, 130, 151, 152, 184, 194, 196, 204, 210, 245, 273, 300, 304, 332, 335, 340, 451, 463, 475, 492, 524, 533, 571, 588, 602, 607, 612, 630, 675, 741, 813, 965, 1214, 2149]",355.26,374.4288348938954,"[6, 7, 12, 13, 15, 20, 21, 31, 34, 39, 43, 44, 46, 52, 54, 58, 71, 78, 98, 106, 128, 129, 131, 144, 150, 152, 153, 157, 158, 160, 161, 162, 171, 174, 178, 179, 189, 207, 243, 284, 334, 335, 352, 359, 360, 374, 405, 410, 417, 418, 425, 447, 448, 449, 461, 478, 479, 501, 532, 544, 553, 554, 555, 573, 582, 583, 586, 587, 592, 601, 655, 688, 728, 729, 741, 744, 765, 788, 789, 841, 862, 863, 889, 890, 906, 1203]",367.8255813953488,285.36521649888005,0.1208607899955646,0.1619143949064364,0.9910215639294272,0.9913098367837048
8.0,3.0,16.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-0.00023055484,3164.0,-0.00055644364,1462.0,"[2, 4, 13, 15, 34, 35, 36, 40, 55, 56, 59, 66, 67, 79, 80, 87, 103, 115, 120, 123, 130, 149, 150, 154, 156, 160, 176, 237, 248, 252, 331, 418, 441, 442, 462, 465, 563, 574, 581, 597, 666, 677, 711, 738, 755, 1779, 1986, 2036, 2554, 3164]",458.82,673.4062871699373,"[4, 5, 14, 16, 18, 20, 22, 28, 30, 32, 34, 35, 39, 41, 42, 44, 45, 47, 52, 53, 57, 74, 102, 107, 116, 120, 121, 122, 124, 126, 135, 204, 208, 209, 214, 215, 216, 225, 278, 280, 298, 307, 318, 327, 328, 332, 352, 376, 377, 403, 422, 423, 429, 431, 461, 482, 491, 534, 565, 568, 573, 576, 597, 604, 629, 708, 709, 748, 749, 752, 755, 757, 758, 765, 784, 785, 825, 826, 840, 872, 897, 898, 920, 1216, 1380, 1462]",389.3372093023256,339.7021475948954,0.139147839502106,0.1805914028123813,0.9882019167937268,0.9907334420486502
8.0,2.0,16.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-0.000850377,2123.0,-0.0011169863,1192.0,"[2, 3, 10, 11, 34, 45, 55, 57, 58, 59, 76, 77, 78, 81, 82, 84, 107, 111, 124, 168, 214, 234, 290, 293, 302, 309, 319, 353, 362, 369, 443, 541, 548, 557, 580, 581, 593, 603, 1356, 1763, 1778, 1826, 1835, 1842, 1891, 1962, 1988, 1990, 2055, 2123]",624.44,725.749382638387,"[1, 3, 11, 12, 18, 20, 25, 27, 29, 30, 32, 36, 37, 40, 41, 42, 63, 68, 92, 96, 119, 129, 145, 167, 185, 186, 187, 188, 191, 193, 194, 195, 211, 217, 230, 235, 255, 263, 272, 273, 282, 283, 293, 320, 364, 372, 492, 493, 496, 497, 503, 518, 522, 525, 537, 557, 565, 566, 596, 597, 600, 605, 639, 643, 648, 675, 678, 787, 792, 838, 843, 889, 931, 932, 996, 997, 998, 999, 1039, 1064, 1069, 1070, 1093, 1131, 1191, 1192]",435.7558139534884,358.236700236632,0.1195203782016419,0.1700365745986062,0.9836925506425614,0.9894896756798188
8.0,4.0,32.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-0.0020513877,3173.0,-0.0020224752,2336.0,"[1, 2, 8, 9, 19, 20, 30, 31, 32, 38, 63, 78, 80, 81, 88, 90, 93, 94, 126, 130, 147, 149, 212, 226, 270, 276, 334, 337, 595, 596, 717, 722, 788, 802, 808, 887, 889, 910, 922, 957, 976, 1132, 1139, 1141, 1180, 1932, 2855, 2892, 2904, 3173]",639.62,811.9053119668574,"[1, 2, 6, 7, 9, 10, 15, 20, 22, 26, 37, 38, 39, 40, 59, 60, 61, 66, 69, 73, 87, 97, 107, 110, 111, 113, 114, 115, 118, 132, 136, 142, 185, 213, 221, 228, 247, 253, 267, 277, 295, 306, 307, 357, 360, 365, 367, 523, 524, 626, 627, 629, 631, 632, 633, 829, 872, 889, 890, 899, 900, 905, 906, 909, 914, 915, 932, 940, 941, 958, 961, 977, 988, 994, 995, 1213, 1376, 1379, 1567, 1568, 1594, 1847, 1848, 2321, 2334, 2336]",569.9069767441861,585.2571612847177,0.1562875145616887,0.1903104982179317,0.983279241995208,0.9858951534861288
