cpus,n_layers,n_bottleneck,epochs,batch_size,verbose,learning_rate,shuffle,n_inputs,seed,max_fraud_eval,min_detect_eval,max_fraud_test,min_detect_test,fraud_ranks_eval,rank_mean_eval,rank_std_eval,fraud_ranks_test,rank_mean_test,rank_std_test,auc_pr_eval,auc_pr_test,auc_roc_eval,auc_roc_test
8.0,1.0,16.0,100.0,32.0,2.0,0.0001,1.0,193.0,0.0,-0.0071953894,1949.0,-0.0072887167,1849.0,"[1, 3, 7, 9, 12, 13, 14, 15, 18, 19, 29, 30, 39, 40, 41, 45, 580, 583, 589, 595, 704, 707, 729, 745, 772, 778, 779, 904, 909, 972, 979, 1074, 1077, 1441, 1564, 1612, 1637, 1704, 1705, 1821, 1847, 1851, 1861, 1865, 1905, 1916, 1918, 1940, 1942, 1949]",885.78,733.843533459279,"[1, 3, 4, 5, 7, 9, 11, 12, 14, 15, 275, 312, 356, 358, 387, 402, 407, 518, 522, 523, 533, 541, 632, 635, 642, 652, 655, 672, 674, 675, 682, 684, 685, 687, 714, 734, 735, 742, 755, 760, 761, 762, 866, 874, 877, 878, 879, 893, 894, 948, 1042, 1108, 1370, 1387, 1397, 1422, 1459, 1480, 1584, 1587, 1590, 1595, 1596, 1711, 1718, 1719, 1726, 1727, 1731, 1732, 1733, 1771, 1773, 1780, 1786, 1789, 1790, 1792, 1800, 1801, 1805, 1825, 1836, 1845, 1848, 1849]",997.279069767442,615.8892729530769,0.1731783939204202,0.1223103394457837,0.9765769984752778,0.9744439037065608
8.0,1.0,32.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-0.00011408655,3289.0,-0.000109068125,2543.0,"[1, 2, 7, 9, 14, 15, 16, 17, 20, 21, 22, 23, 24, 27, 28, 31, 460, 461, 464, 466, 467, 470, 472, 473, 1780, 1781, 1798, 1808, 2337, 2345, 2352, 2360, 2367, 2370, 2380, 2386, 2387, 2404, 2407, 2421, 2433, 2435, 2444, 2454, 2455, 2458, 2494, 2501, 2714, 3289]",1307.4,1126.6537888810387,"[1, 3, 6, 7, 8, 9, 11, 12, 13, 14, 17, 18, 22, 23, 338, 339, 340, 341, 342, 343, 345, 346, 409, 416, 421, 424, 442, 451, 545, 556, 670, 678, 798, 801, 803, 844, 850, 853, 862, 867, 938, 949, 959, 1027, 1190, 1198, 1277, 1284, 1285, 1287, 1300, 1301, 1418, 1421, 1427, 1445, 1447, 1448, 1452, 1463, 1464, 1472, 1473, 1489, 1491, 1492, 1496, 1502, 1503, 1504, 1505, 1506, 1507, 1528, 1558, 1559, 1564, 1581, 1600, 1601, 1853, 1854, 1859, 2211, 2394, 2543]",967.593023255814,641.7744908927336,0.1887461966777882,0.1460557560395417,0.96509747331736,0.9752393284409364
8.0,2.0,32.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-0.00016961721,3236.0,-0.0002687926,2353.0,"[1, 2, 8, 9, 12, 15, 16, 17, 18, 19, 20, 21, 22, 30, 31, 32, 309, 358, 363, 367, 371, 373, 473, 476, 971, 1022, 1504, 1807, 2032, 2044, 2059, 2060, 2076, 2117, 2133, 2134, 2315, 2485, 2890, 2917, 3021, 3088, 3094, 3096, 3097, 3123, 3132, 3145, 3152, 3236]",1342.26,1257.0381507336997,"[1, 2, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 22, 23, 229, 230, 231, 232, 286, 288, 289, 292, 441, 445, 449, 450, 456, 458, 463, 466, 485, 610, 722, 732, 816, 829, 830, 961, 1076, 1088, 1099, 1101, 1107, 1146, 1147, 1154, 1159, 1174, 1178, 1197, 1203, 1232, 1254, 1278, 1340, 1341, 1577, 1586, 1593, 1603, 1622, 1623, 1644, 1647, 1659, 1674, 1737, 1738, 1768, 1789, 1790, 2014, 2127, 2129, 2130, 2248, 2270, 2271, 2302, 2306, 2323, 2335, 2336, 2337, 2352, 2353]",1069.860465116279,777.7559724123239,0.1929996974262619,0.1506106625088259,0.9641483336963624,0.972499116714014
8.0,1.0,64.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-0.0005226595,36770.0,-0.0005478689,37398.0,"[5, 6, 8, 9, 111, 185, 196, 251, 252, 254, 283, 284, 375, 376, 395, 568, 5529, 5554, 5584, 5924, 6003, 10274, 10325, 19217, 19322, 19327, 22157, 22160, 24642, 24643, 24644, 24818, 24895, 24896, 25517, 25519, 29303, 32241, 32244, 36182, 36312, 36332, 36442, 36505, 36532, 36572, 36611, 36734, 36743, 36770]",17000.62,14569.812297884964,"[59, 66, 207, 208, 306, 314, 315, 322, 782, 5174, 5177, 5178, 5179, 5180, 5182, 5234, 5240, 5334, 5402, 5421, 5494, 5505, 5507, 5508, 5512, 5718, 5719, 8094, 10069, 10132, 10263, 10264, 10362, 10363, 14659, 14663, 18690, 18702, 18703, 22549, 22550, 25088, 25089, 25091, 25092, 25095, 25225, 25413, 25458, 25565, 25768, 29953, 29954, 30006, 33021, 36807, 36853, 36938, 36939, 36941, 37086, 37093, 37094, 37101, 37122, 37127, 37152, 37205, 37270, 37277, 37280, 37291, 37294, 37299, 37301, 37342, 37344, 37345, 37349, 37360, 37361, 37372, 37373, 37385, 37397, 37398]",21263.02325581396,14440.035320108149,0.0371366782487373,0.0041631027584673,0.5378152907863211,0.431432082317892
8.0,2.0,64.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-7.040649e-05,1972.0,-3.8498078e-05,1450.0,"[1, 3, 8, 9, 10, 13, 14, 20, 21, 22, 26, 27, 28, 29, 30, 31, 163, 166, 169, 170, 172, 174, 177, 178, 1026, 1028, 1039, 1040, 1440, 1447, 1482, 1495, 1505, 1514, 1519, 1521, 1532, 1547, 1550, 1552, 1642, 1717, 1724, 1834, 1852, 1869, 1885, 1901, 1914, 1972]",844.16,772.4253325726701,"[2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 27, 28, 33, 34, 35, 36, 37, 38, 40, 42, 43, 44, 58, 59, 62, 64, 69, 70, 71, 72, 81, 87, 105, 106, 108, 109, 397, 455, 456, 466, 467, 468, 471, 472, 473, 474, 477, 494, 497, 513, 526, 529, 531, 539, 609, 610, 625, 626, 654, 655, 660, 661, 670, 683, 695, 696, 697, 726, 727, 728, 769, 770, 784, 796, 800, 818, 862, 877, 878, 896, 1196, 1206, 1215, 1270, 1446, 1450]",431.2674418604651,382.0189458475576,0.1941660141626625,0.2634447090980104,0.9777101938575474,0.989609939662376
8.0,1.0,128.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-4.6722605e-05,2351.0,-5.0487222e-05,1342.0,"[1, 2, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 24, 25, 27, 36, 153, 156, 157, 158, 160, 163, 164, 165, 1374, 1399, 1432, 1463, 1480, 1486, 1492, 1493, 1539, 1616, 1694, 1700, 1703, 1768, 1826, 1829, 1845, 1996, 2015, 2036, 2180, 2214, 2259, 2260, 2261, 2351]",964.6,895.7531133074559,"[1, 2, 3, 4, 6, 7, 13, 14, 15, 16, 17, 18, 19, 20, 26, 30, 32, 33, 116, 169, 176, 180, 234, 269, 296, 310, 441, 454, 455, 463, 468, 483, 500, 501, 502, 509, 529, 544, 564, 568, 569, 576, 577, 601, 612, 613, 637, 642, 653, 667, 708, 709, 714, 724, 731, 791, 792, 793, 794, 796, 820, 824, 831, 848, 864, 870, 878, 879, 891, 1005, 1012, 1013, 1030, 1031, 1118, 1124, 1148, 1149, 1150, 1151, 1152, 1268, 1273, 1339, 1341, 1342]",582.0581395348837,400.9981544541177,0.2279826558094619,0.2098624184524984,0.9744309518623392,0.9855695683520034
8.0,2.0,128.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-1.0724621e-05,11699.0,-1.0398158e-05,10568.0,"[6, 10, 11, 13, 14, 15, 16, 17, 50, 51, 66, 67, 70, 71, 72, 73, 153, 159, 163, 164, 165, 166, 167, 169, 1001, 1004, 1306, 1594, 1669, 1714, 2211, 3255, 4052, 4983, 6035, 6040, 6060, 10155, 10173, 10462, 10467, 10635, 10658, 11091, 11111, 11217, 11312, 11449, 11655, 11699]",3698.72,4584.572922486892,"[1, 2, 3, 4, 10, 12, 13, 14, 15, 17, 19, 24, 25, 29, 30, 31, 32, 38, 47, 49, 61, 65, 71, 78, 101, 111, 114, 120, 138, 141, 142, 150, 167, 168, 175, 189, 279, 336, 427, 578, 638, 655, 665, 731, 736, 752, 767, 788, 946, 1011, 2885, 2886, 2954, 2955, 2993, 3312, 5088, 5096, 5508, 6668, 6766, 6779, 7059, 9039, 9040, 9078, 9079, 9082, 9204, 9367, 9491, 9551, 9552, 9981, 10101, 10108, 10117, 10118, 10189, 10198, 10206, 10385, 10424, 10425, 10567, 10568]",3471.3255813953488,4201.038045702348,0.1090248068523488,0.2033547949946034,0.8999885645828796,0.9081533683573622
8.0,1.0,16.0,100.0,32.0,2.0,0.01,1.0,193.0,0.0,-0.023310684,3005.0,-0.023106426,2945.0,"[1, 3, 7, 9, 93, 95, 98, 99, 100, 101, 118, 119, 175, 188, 302, 303, 657, 660, 663, 664, 872, 877, 951, 969, 1198, 1200, 1202, 1232, 1234, 1238, 1259, 1260, 1268, 1718, 1728, 1729, 1732, 2131, 2133, 2495, 2499, 2568, 2571, 2572, 2666, 2765, 2771, 2932, 3004, 3005]",1204.68,989.4999027791766,"[1, 2, 3, 8, 9, 10, 89, 90, 93, 94, 160, 162, 165, 251, 252, 253, 598, 601, 602, 603, 604, 605, 612, 616, 620, 836, 841, 905, 914, 916, 917, 925, 926, 939, 1053, 1110, 1120, 1121, 1122, 1175, 1184, 1196, 1198, 1201, 1202, 1204, 1205, 1206, 1215, 1271, 1296, 1301, 1416, 1510, 1678, 1679, 1680, 1682, 1686, 1687, 2055, 2061, 2403, 2414, 2417, 2418, 2419, 2420, 2422, 2432, 2457, 2472, 2473, 2565, 2566, 2623, 2625, 2630, 2631, 2681, 2683, 2684, 2781, 2795, 2905, 2945]",1344.1511627906978,907.5505818108212,0.0837081414811724,0.0898863320235708,0.9678942496188194,0.965149616494984
8.0,2.0,16.0,100.0,32.0,2.0,0.01,1.0,193.0,0.0,-0.0233588,3005.0,-0.023155207,2945.0,"[1, 3, 7, 9, 93, 96, 98, 99, 100, 101, 102, 103, 167, 174, 302, 303, 657, 661, 663, 664, 876, 928, 1053, 1072, 1205, 1206, 1208, 1238, 1241, 1242, 1262, 1263, 1271, 1720, 1727, 1730, 1731, 2131, 2132, 2495, 2501, 2536, 2539, 2540, 2715, 2766, 2771, 2976, 3003, 3005]",1209.72,989.9473125373894,"[1, 2, 3, 8, 9, 10, 89, 90, 93, 94, 160, 163, 165, 250, 251, 254, 598, 600, 602, 603, 604, 605, 614, 616, 624, 839, 890, 907, 915, 1017, 1018, 1030, 1031, 1044, 1153, 1159, 1171, 1173, 1174, 1181, 1188, 1196, 1203, 1204, 1205, 1207, 1208, 1209, 1218, 1272, 1296, 1302, 1416, 1510, 1678, 1679, 1680, 1682, 1686, 1687, 1971, 2061, 2403, 2414, 2417, 2418, 2419, 2420, 2422, 2434, 2457, 2474, 2475, 2575, 2576, 2627, 2668, 2669, 2670, 2682, 2683, 2684, 2791, 2834, 2904, 2945]",1356.1511627906978,906.4401687234476,0.0843720894869305,0.0895306721195515,0.967757024613374,0.96482808170224
8.0,1.0,32.0,100.0,32.0,2.0,0.01,1.0,193.0,0.0,-0.0047030626,2786.0,-0.0046698144,2893.0,"[1, 2, 7, 9, 11, 12, 14, 15, 16, 17, 18, 19, 34, 38, 39, 41, 82, 84, 86, 88, 212, 215, 236, 260, 264, 282, 304, 346, 353, 370, 388, 391, 396, 1436, 1441, 1442, 1507, 1634, 1637, 1683, 1786, 1867, 1869, 1891, 1905, 1922, 1924, 2784, 2785, 2786]",738.98,880.2165753949423,"[1, 3, 4, 5, 6, 8, 10, 11, 13, 14, 15, 16, 20, 25, 27, 28, 29, 30, 122, 124, 126, 128, 130, 135, 149, 156, 159, 161, 169, 170, 184, 185, 192, 196, 197, 199, 223, 224, 239, 240, 241, 243, 282, 290, 293, 297, 374, 387, 390, 391, 457, 572, 738, 1252, 1322, 1323, 1331, 1332, 1335, 1345, 1410, 1411, 1515, 1527, 1531, 1545, 1548, 1549, 1551, 1568, 1580, 1581, 1584, 1615, 1616, 1780, 1783, 1796, 1812, 1817, 1818, 1838, 1839, 2766, 2767, 2893]",747.7674418604652,781.7785874978927,0.2257130848957247,0.2272893114706753,0.9805739490307122,0.9811294595037522
