cpus,n_layers,n_bottleneck,epochs,batch_size,verbose,learning_rate,shuffle,n_inputs,seed,max_fraud_eval,min_detect_eval,max_fraud_test,min_detect_test,fraud_ranks_eval,rank_mean_eval,rank_std_eval,fraud_ranks_test,rank_mean_test,rank_std_test,auc_pr_eval,auc_pr_test,auc_roc_eval,auc_roc_test
8.0,1.0,16.0,100.0,32.0,2.0,0.0001,1.0,193.0,0.0,-0.026971357,1798.0,-0.023211723,2186.0,"[1, 3, 7, 9, 19, 21, 39, 48, 54, 56, 59, 67, 93, 102, 103, 104, 105, 106, 109, 122, 123, 146, 162, 163, 449, 465, 578, 926, 1082, 1093, 1203, 1213, 1307, 1338, 1352, 1430, 1436, 1444, 1467, 1489, 1501, 1506, 1534, 1537, 1572, 1588, 1591, 1593, 1625, 1798]",718.76,668.1269208765652,"[1, 3, 8, 10, 11, 14, 15, 21, 22, 26, 30, 34, 55, 63, 70, 90, 91, 93, 97, 98, 101, 102, 109, 111, 128, 141, 143, 144, 153, 155, 157, 168, 172, 183, 184, 194, 195, 514, 518, 520, 544, 559, 951, 957, 959, 962, 1097, 1098, 1222, 1251, 1255, 1272, 1286, 1287, 1298, 1328, 1355, 1373, 1379, 1380, 1383, 1410, 1454, 1459, 1460, 1465, 1480, 1481, 1484, 1493, 1494, 1509, 1510, 1512, 1515, 1522, 1523, 1532, 1538, 1553, 1555, 1556, 1574, 1782, 2164, 2186]",794.7790697674419,668.8700364109884,0.1362465245156502,0.1516880857419934,0.9811244826835112,0.9798698033341164
8.0,1.0,32.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-0.0008996605,3400.0,-0.0007511474,2728.0,"[2, 4, 6, 9, 31, 35, 56, 62, 63, 65, 66, 67, 68, 71, 72, 86, 117, 479, 483, 485, 511, 569, 622, 742, 765, 771, 1173, 1190, 1212, 1315, 1324, 1454, 1484, 1557, 1840, 1913, 1915, 1943, 2059, 2999, 3176, 3218, 3282, 3306, 3309, 3317, 3333, 3364, 3399, 3400]",1255.78,1236.545127199165,"[1, 3, 21, 22, 23, 24, 32, 33, 36, 37, 50, 53, 57, 58, 66, 68, 78, 79, 417, 421, 426, 431, 432, 434, 441, 442, 495, 514, 519, 520, 635, 640, 709, 725, 731, 745, 755, 756, 761, 943, 1014, 1118, 1206, 1207, 1208, 1424, 1440, 1473, 1511, 1512, 1535, 1648, 1661, 1662, 1663, 1758, 1789, 1834, 1854, 1887, 1912, 1931, 2070, 2119, 2137, 2160, 2244, 2245, 2289, 2291, 2292, 2301, 2391, 2401, 2405, 2406, 2420, 2421, 2461, 2462, 2519, 2520, 2600, 2619, 2633, 2728]",1221.093023255814,911.5839731938486,0.0980451112959069,0.0915852703383106,0.966502940535831,0.9684469059442188
8.0,2.0,32.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-0.0011927611,3631.0,-0.0010175088,3141.0,"[2, 4, 11, 13, 43, 52, 68, 69, 77, 78, 81, 82, 84, 91, 94, 95, 122, 127, 131, 132, 256, 280, 284, 458, 549, 560, 565, 671, 769, 801, 816, 914, 924, 1150, 1306, 1374, 1659, 1836, 2965, 3325, 3372, 3375, 3389, 3442, 3517, 3572, 3583, 3612, 3614, 3631]",1160.5,1359.7421704132,"[1, 2, 36, 37, 41, 45, 50, 51, 55, 56, 60, 61, 62, 67, 84, 90, 105, 133, 135, 137, 140, 141, 143, 148, 149, 169, 463, 466, 467, 468, 475, 476, 481, 482, 484, 488, 507, 508, 512, 532, 542, 543, 599, 606, 645, 646, 706, 707, 755, 772, 971, 1066, 1178, 1276, 1277, 1463, 1464, 1476, 1527, 1603, 1604, 1670, 1676, 1697, 1808, 1885, 1903, 2022, 2272, 2281, 2590, 2654, 2677, 2678, 2745, 2791, 2796, 2797, 2808, 2830, 2844, 2845, 2935, 2936, 2951, 3141]",1077.5,1017.3299840816784,0.0948544788120631,0.100799261498447,0.9690971465911564,0.9722944186918892
8.0,1.0,64.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-0.00024045097,2498.0,-0.00026170653,1604.0,"[3, 4, 8, 10, 54, 62, 73, 74, 77, 78, 82, 83, 89, 91, 94, 95, 127, 179, 202, 246, 253, 254, 255, 257, 258, 261, 262, 268, 270, 288, 294, 370, 1254, 1358, 1372, 1394, 1452, 1459, 1548, 1555, 1808, 1914, 1923, 2006, 2031, 2045, 2099, 2203, 2475, 2498]",748.3,824.8961692237393,"[2, 4, 39, 42, 43, 44, 48, 49, 53, 58, 61, 63, 80, 100, 106, 107, 121, 151, 152, 153, 154, 157, 158, 159, 162, 164, 168, 171, 198, 199, 200, 214, 226, 233, 240, 241, 244, 247, 248, 331, 345, 349, 350, 351, 353, 364, 365, 379, 395, 430, 441, 442, 475, 492, 507, 508, 526, 530, 531, 542, 543, 554, 555, 563, 569, 663, 690, 699, 700, 772, 775, 830, 881, 891, 958, 977, 984, 1070, 1071, 1141, 1158, 1183, 1315, 1340, 1463, 1604]",444.3488372093023,377.18926121738633,0.1035448040194189,0.1294598562624917,0.9803201916793728,0.9892594293505184
8.0,2.0,64.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-0.00014014983,3884.0,-0.00014776352,2914.0,"[2, 3, 11, 13, 31, 33, 48, 49, 50, 52, 55, 56, 58, 59, 71, 75, 184, 287, 293, 298, 313, 322, 324, 325, 334, 343, 407, 554, 1850, 1872, 1943, 2006, 2047, 2185, 2194, 2204, 2376, 2540, 2677, 2706, 2855, 2959, 3418, 3447, 3449, 3452, 3590, 3595, 3597, 3884]",1309.92,1369.0364909672787,"[1, 2, 16, 17, 18, 20, 21, 23, 25, 26, 30, 34, 36, 47, 53, 56, 73, 85, 107, 115, 120, 131, 156, 170, 181, 183, 190, 192, 193, 197, 210, 488, 500, 527, 635, 639, 740, 765, 782, 797, 888, 890, 950, 964, 965, 990, 1024, 1041, 1042, 1108, 1128, 1247, 1248, 1254, 1257, 1282, 1473, 1474, 1543, 1554, 1559, 1583, 1584, 1587, 1588, 1745, 1867, 1868, 1876, 1877, 1884, 2051, 2052, 2226, 2227, 2232, 2453, 2467, 2551, 2568, 2569, 2666, 2667, 2737, 2789, 2914]",1024.5348837209303,891.6189182014667,0.1054461155374312,0.1291981175501472,0.9650288608146372,0.9737135959990104
8.0,1.0,128.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-7.646915e-05,5767.0,-0.00015166262,1870.0,"[1, 2, 7, 9, 30, 40, 53, 54, 56, 57, 61, 62, 64, 66, 67, 68, 107, 109, 202, 206, 213, 214, 218, 219, 220, 221, 325, 343, 1190, 1195, 1197, 1215, 1223, 1234, 1235, 1337, 1545, 1616, 1733, 1798, 1822, 1834, 1901, 1959, 1981, 2234, 2284, 2641, 2836, 5767]",901.42,1094.4156630823593,"[1, 3, 17, 18, 24, 25, 35, 48, 50, 70, 71, 76, 78, 79, 82, 86, 91, 96, 97, 100, 101, 102, 104, 108, 111, 113, 126, 140, 149, 189, 192, 194, 212, 236, 253, 321, 326, 327, 330, 331, 346, 359, 360, 378, 390, 434, 435, 446, 464, 465, 480, 481, 487, 512, 529, 535, 546, 577, 629, 631, 632, 635, 673, 674, 675, 676, 775, 776, 777, 897, 898, 908, 926, 968, 973, 1048, 1070, 1126, 1286, 1287, 1301, 1393, 1460, 1725, 1777, 1870]",486.0697674418605,446.6761948430662,0.1384784408782518,0.1461592892362463,0.9761511653234588,0.988141535129234
8.0,2.0,128.0,100.0,32.0,2.0,0.001,1.0,193.0,0.0,-0.00013823058,4198.0,-0.00019835558,2571.0,"[1, 2, 20, 21, 31, 35, 39, 40, 46, 47, 48, 49, 53, 54, 92, 95, 162, 167, 174, 186, 193, 197, 200, 202, 205, 210, 1352, 1393, 1966, 1974, 2015, 2189, 2210, 2212, 2246, 2261, 2396, 2448, 2456, 2543, 2568, 2569, 2790, 3062, 3148, 3251, 3334, 3337, 3419, 4198]",1278.12,1308.9392138674737,"[8, 9, 12, 13, 15, 16, 18, 19, 21, 25, 26, 28, 29, 33, 38, 46, 50, 52, 53, 54, 55, 58, 60, 71, 72, 77, 91, 92, 93, 94, 118, 119, 350, 374, 376, 377, 388, 412, 474, 479, 528, 531, 541, 560, 655, 664, 802, 829, 831, 832, 989, 996, 1107, 1119, 1120, 1131, 1132, 1140, 1141, 1155, 1171, 1226, 1308, 1486, 1487, 1569, 1571, 1572, 1632, 1633, 1634, 1685, 1832, 1833, 1862, 1863, 1879, 1880, 1975, 2381, 2390, 2431, 2437, 2438, 2470, 2571]",823.4186046511628,791.0646118484781,0.1264112443943256,0.163395481444235,0.9658946852537572,0.9791024194246896
8.0,1.0,16.0,100.0,32.0,2.0,0.01,1.0,193.0,0.0,-0.068039805,1354.0,-0.03985042,4251.0,"[4, 6, 7, 9, 30, 32, 65, 95, 116, 130, 148, 161, 173, 193, 229, 239, 243, 256, 274, 285, 303, 333, 347, 351, 365, 375, 379, 382, 417, 418, 420, 448, 479, 483, 485, 559, 614, 618, 626, 639, 645, 693, 694, 697, 707, 732, 735, 738, 1353, 1354]",401.68,297.8926276362005,"[5, 7, 9, 11, 12, 16, 21, 23, 27, 29, 31, 33, 37, 39, 49, 53, 95, 110, 149, 150, 153, 154, 163, 178, 211, 212, 219, 220, 226, 227, 231, 233, 239, 246, 260, 261, 262, 275, 281, 282, 284, 302, 308, 317, 318, 319, 320, 329, 330, 358, 364, 368, 373, 374, 375, 390, 443, 464, 465, 512, 515, 518, 612, 656, 658, 663, 664, 687, 735, 736, 743, 1031, 1035, 1328, 1329, 1334, 1389, 1395, 1632, 2398, 2690, 3636, 3683, 4041, 4237, 4251]",643.5813953488372,959.2127400030192,0.0961865565358782,0.1539279813167907,0.9897576780657809,0.9839210794097468
8.0,2.0,16.0,100.0,32.0,2.0,0.01,1.0,193.0,0.0,-0.06935421,1230.0,-0.040038664,4251.0,"[7, 9, 10, 13, 36, 38, 71, 95, 113, 129, 146, 160, 171, 192, 226, 238, 247, 249, 275, 285, 305, 333, 346, 353, 358, 361, 381, 383, 394, 395, 419, 446, 481, 482, 483, 580, 596, 612, 615, 629, 630, 636, 637, 645, 653, 701, 728, 733, 1229, 1230]",389.68,275.95713000391925,"[5, 7, 9, 11, 12, 16, 21, 23, 27, 29, 30, 33, 37, 39, 49, 54, 94, 108, 149, 150, 154, 155, 162, 177, 209, 210, 218, 219, 225, 226, 231, 233, 241, 245, 259, 261, 262, 275, 281, 282, 284, 305, 309, 316, 317, 319, 320, 326, 327, 355, 364, 373, 374, 375, 380, 390, 437, 444, 445, 512, 515, 518, 609, 624, 628, 664, 665, 688, 734, 735, 736, 1031, 1074, 1213, 1214, 1332, 1341, 1406, 1458, 2394, 2735, 3638, 3683, 3990, 4237, 4251]",637.3604651162791,954.567160072122,0.0862933899649283,0.1545468501575645,0.9900844042692224,0.9840877665358304
8.0,1.0,32.0,100.0,32.0,2.0,0.01,1.0,193.0,0.0,-0.019241909,2327.0,-0.016519725,2569.0,"[2, 3, 7, 9, 16, 18, 32, 40, 41, 47, 52, 53, 72, 73, 84, 85, 100, 102, 104, 106, 134, 135, 226, 363, 574, 590, 887, 1020, 1054, 1204, 1212, 1303, 1317, 1343, 1363, 1377, 1425, 1441, 1516, 1517, 1521, 1523, 1603, 1690, 2049, 2073, 2074, 2233, 2324, 2327]",809.28,780.2706720106811,"[1, 3, 9, 10, 12, 15, 16, 24, 25, 27, 37, 38, 59, 64, 90, 91, 92, 93, 95, 97, 100, 101, 107, 108, 138, 139, 142, 143, 149, 163, 164, 177, 181, 182, 184, 189, 197, 617, 637, 892, 902, 911, 920, 1045, 1052, 1068, 1076, 1082, 1194, 1204, 1210, 1238, 1256, 1266, 1267, 1282, 1292, 1307, 1335, 1366, 1381, 1382, 1402, 1423, 1424, 1458, 1459, 1483, 1501, 1583, 1686, 2046, 2047, 2048, 2077, 2078, 2095, 2097, 2098, 2110, 2111, 2128, 2130, 2132, 2317, 2569]",897.046511627907,785.7779422844947,0.1327832393154098,0.1431419523064216,0.9786598780222172,0.977129591607194
8.0,2.0,32.0,100.0,32.0,2.0,0.01,1.0,193.0,0.0,-0.02012045,2276.0,-0.01908261,2439.0,"[2, 3, 8, 10, 24, 25, 50, 69, 80, 82, 98, 99, 128, 129, 134, 135, 140, 145, 156, 157, 223, 224, 332, 390, 454, 689, 976, 1088, 1139, 1263, 1276, 1353, 1386, 1445, 1478, 1480, 1491, 1542, 1569, 1580, 1581, 1583, 1585, 1659, 1749, 1862, 2104, 2110, 2200, 2276]",835.22,754.8380830350308,"[2, 4, 11, 12, 13, 15, 17, 24, 27, 29, 38, 41, 67, 71, 102, 104, 105, 106, 107, 109, 114, 119, 123, 127, 167, 168, 174, 175, 192, 193, 231, 239, 249, 253, 254, 260, 265, 363, 683, 955, 960, 961, 964, 1090, 1094, 1120, 1123, 1138, 1252, 1261, 1262, 1271, 1289, 1331, 1334, 1339, 1340, 1364, 1405, 1445, 1458, 1459, 1472, 1495, 1496, 1509, 1515, 1516, 1528, 1530, 1722, 1725, 1726, 1883, 2090, 2091, 2092, 2108, 2109, 2110, 2119, 2120, 2124, 2126, 2155, 2439]",911.2558139534884,769.3437430851943,0.1014830089175947,0.122225953434482,0.9779536048791112,0.9767488595173364
8.0,2.0,16.0,100.0,32.0,2.0,0.0001,1.0,193.0,0.0,-0.029136831,1555.0,-0.02301292,1845.0,"[2, 3, 7, 8, 23, 26, 81, 91, 101, 110, 113, 114, 134, 135, 136, 138, 153, 156, 157, 164, 173, 203, 219, 220, 249, 250, 269, 321, 523, 674, 744, 765, 822, 827, 891, 903, 970, 973, 989, 1023, 1098, 1099, 1103, 1162, 1305, 1383, 1387, 1447, 1448, 1555]",536.94,493.2636378246424,"[2, 3, 6, 7, 8, 10, 14, 16, 21, 24, 30, 36, 54, 64, 67, 68, 78, 79, 97, 98, 112, 113, 124, 137, 174, 194, 195, 223, 232, 233, 236, 246, 248, 251, 257, 258, 271, 277, 281, 297, 298, 305, 306, 313, 315, 629, 636, 658, 731, 732, 755, 790, 796, 802, 819, 840, 869, 886, 887, 929, 934, 935, 951, 952, 954, 970, 971, 973, 974, 998, 1055, 1056, 1061, 1112, 1171, 1224, 1225, 1227, 1228, 1240, 1326, 1327, 1328, 1329, 1662, 1845]",563.546511627907,476.6118955706616,0.1139751056183168,0.1636630213544544,0.9860749292093226,0.986065579388872
8.0,1.0,64.0,100.0,32.0,2.0,0.01,1.0,193.0,0.0,-0.0008552757,3273.0,-0.0007723094,2520.0,"[1, 3, 9, 10, 27, 28, 31, 32, 34, 35, 36, 37, 38, 39, 41, 53, 441, 443, 455, 463, 508, 598, 635, 642, 968, 1110, 1277, 1390, 1680, 1681, 1704, 1746, 1747, 1778, 1802, 1827, 2910, 2973, 3011, 3040, 3051, 3054, 3127, 3132, 3160, 3183, 3225, 3249, 3271, 3273]",1340.16,1256.2794810073117,"[4, 5, 18, 19, 20, 21, 24, 25, 27, 28, 50, 51, 52, 53, 54, 55, 59, 62, 378, 390, 393, 396, 399, 411, 412, 468, 486, 492, 541, 557, 559, 560, 565, 622, 749, 890, 947, 967, 968, 1037, 1048, 1204, 1205, 1247, 1327, 1328, 1491, 1492, 1551, 1565, 1590, 1636, 1647, 1651, 1653, 1659, 1728, 1731, 1769, 1790, 1816, 1840, 2038, 2053, 2140, 2170, 2174, 2175, 2181, 2279, 2280, 2282, 2283, 2284, 2285, 2294, 2351, 2359, 2381, 2382, 2396, 2397, 2435, 2477, 2479, 2520]",1196.2441860465117,877.8357892745739,0.1326858927360155,0.0887753658951647,0.9642055107819648,0.9691127197543872
8.0,2.0,64.0,100.0,32.0,2.0,0.01,1.0,193.0,0.0,-0.0009905818,3458.0,-0.0009908685,2763.0,"[2, 3, 8, 10, 30, 44, 65, 67, 71, 72, 76, 77, 82, 83, 86, 88, 134, 359, 363, 508, 515, 521, 575, 619, 621, 667, 1007, 1014, 1457, 1505, 1616, 1617, 1695, 1734, 1741, 1800, 1801, 1815, 3244, 3283, 3287, 3299, 3306, 3334, 3376, 3390, 3402, 3416, 3426, 3458]",1295.38,1296.0440561956218,"[8, 10, 35, 36, 37, 38, 39, 40, 41, 43, 44, 53, 61, 62, 68, 69, 71, 81, 82, 84, 87, 89, 92, 310, 419, 420, 424, 435, 439, 440, 494, 495, 508, 527, 530, 535, 635, 637, 642, 644, 932, 1388, 1397, 1398, 1414, 1415, 1417, 1443, 1585, 1586, 1657, 1658, 1659, 1700, 1702, 1710, 1762, 1798, 1808, 1850, 1868, 1873, 1927, 1930, 1966, 1967, 2009, 2015, 2484, 2485, 2491, 2530, 2545, 2567, 2570, 2571, 2598, 2599, 2607, 2608, 2660, 2661, 2663, 2697, 2721, 2763]",1203.0,976.6060713535684,0.0935522760211986,0.0840936616656203,0.965424744064474,0.968931700651108
8.0,1.0,128.0,100.0,32.0,2.0,0.01,1.0,193.0,0.0,-2.4524952e-05,3101.0,-1.9494708e-05,2721.0,"[3, 4, 12, 14, 18, 19, 20, 21, 24, 25, 26, 27, 36, 39, 58, 59, 187, 192, 199, 200, 202, 203, 204, 205, 1132, 1134, 1150, 1160, 1596, 1660, 1729, 1743, 1772, 1790, 1821, 1826, 1950, 2430, 2449, 2620, 2623, 2631, 2771, 2777, 2819, 3016, 3017, 3051, 3097, 3101]",1177.24,1157.7574108594597,"[10, 12, 14, 15, 16, 17, 52, 53, 54, 55, 56, 57, 58, 59, 66, 67, 74, 78, 154, 157, 164, 166, 179, 180, 187, 196, 198, 203, 216, 224, 284, 354, 377, 381, 395, 396, 408, 423, 455, 467, 514, 523, 526, 527, 544, 551, 552, 628, 687, 720, 755, 835, 877, 884, 885, 925, 965, 1258, 1273, 1350, 1354, 1355, 1397, 1419, 1483, 1539, 1540, 1546, 1547, 1567, 1730, 1738, 1767, 1951, 2071, 2154, 2155, 2183, 2184, 2205, 2206, 2267, 2273, 2432, 2720, 2721]",840.2325581395348,790.4551187473714,0.1390107233975749,0.1015440169532419,0.9686413635373556,0.9786518968371818
8.0,2.0,128.0,100.0,32.0,2.0,0.01,1.0,193.0,0.0,-21.787188,20805.0,-22.98477,20357.0,"[207, 208, 209, 210, 212, 213, 217, 218, 223, 224, 226, 235, 236, 237, 240, 241, 16976, 20158, 20180, 20271, 20342, 20345, 20350, 20368, 20392, 20393, 20402, 20405, 20414, 20433, 20434, 20453, 20474, 20525, 20576, 20590, 20607, 20635, 20636, 20637, 20648, 20658, 20681, 20691, 20693, 20703, 20768, 20783, 20800, 20805]",13955.64,9435.05727541704,"[5, 6, 9, 10, 14, 16, 20, 21, 25, 28, 35, 99, 158, 197, 227, 12716, 12755, 12786, 12862, 13155, 13245, 13274, 17739, 19677, 19690, 19695, 19722, 19723, 19738, 19760, 19781, 19796, 19818, 19819, 19835, 19849, 19859, 19892, 19894, 19895, 19896, 19897, 19946, 19952, 19958, 19969, 19984, 19987, 19991, 19992, 20003, 20005, 20013, 20015, 20016, 20024, 20025, 20047, 20055, 20062, 20072, 20090, 20092, 20093, 20098, 20100, 20103, 20104, 20124, 20132, 20155, 20174, 20203, 20204, 20210, 20211, 20234, 20235, 20250, 20254, 20290, 20293, 20301, 20313, 20355, 20357]",15938.709302325582,7548.498886450913,0.0133008568232104,0.0498422363922052,0.6207215203659334,0.5740947642794786
8.0,1.0,32.0,100.0,32.0,2.0,0.0001,1.0,193.0,0.0,-0.0011919724,4723.0,-0.0016604105,3600.0,"[3, 7, 9, 10, 24, 30, 32, 33, 37, 38, 39, 40, 42, 43, 45, 46, 100, 105, 379, 383, 388, 437, 506, 511, 512, 516, 834, 853, 885, 1245, 1488, 1574, 1575, 1606, 1637, 1640, 1656, 1705, 1707, 1738, 1924, 2040, 2159, 2280, 2353, 2412, 2624, 3298, 4316, 4723]",1051.74,1137.0433907287795,"[2, 3, 12, 13, 15, 16, 17, 18, 19, 20, 27, 29, 30, 31, 35, 36, 41, 56, 57, 59, 60, 65, 69, 87, 105, 156, 313, 320, 321, 326, 329, 332, 334, 383, 438, 439, 533, 534, 697, 698, 835, 836, 894, 912, 1250, 1263, 1478, 1479, 1508, 1509, 1536, 1611, 1624, 1632, 1651, 1653, 1679, 1692, 1724, 1737, 1786, 1819, 1831, 1832, 1836, 1920, 1921, 2047, 2073, 2074, 2255, 2259, 2260, 2312, 2316, 2472, 2474, 2480, 2481, 2627, 2714, 2846, 2847, 3305, 3547, 3600]",1133.860465116279,1017.5119811052876,0.1186659915741476,0.1472125678249059,0.9720583750816816,0.9707842644860458
8.0,2.0,32.0,100.0,32.0,2.0,0.0001,1.0,193.0,0.0,-0.00458731,2651.0,-0.0051323967,2138.0,"[1, 2, 7, 9, 20, 21, 39, 53, 54, 62, 67, 68, 69, 73, 76, 77, 80, 81, 86, 91, 109, 110, 261, 264, 305, 325, 350, 358, 445, 513, 521, 739, 967, 1007, 1061, 1065, 1070, 1306, 1330, 1379, 1471, 1570, 1696, 1828, 1829, 1851, 1866, 1946, 2333, 2651]",671.24,741.9060468819486,"[2, 3, 8, 9, 15, 18, 26, 27, 37, 41, 55, 57, 76, 78, 79, 82, 87, 88, 94, 95, 110, 111, 133, 134, 135, 136, 137, 203, 234, 236, 243, 254, 271, 278, 293, 311, 350, 356, 359, 364, 367, 368, 373, 375, 390, 413, 415, 417, 474, 482, 484, 540, 643, 699, 700, 707, 1009, 1029, 1040, 1145, 1179, 1192, 1196, 1197, 1214, 1242, 1243, 1304, 1321, 1322, 1335, 1336, 1394, 1395, 1586, 1587, 1592, 1594, 1600, 1609, 1631, 1632, 1651, 1670, 1671, 2138]",645.6511627906976,594.1715899574814,0.1542280861800696,0.1365313744843938,0.9824183184491396,0.983865620889293
8.0,1.0,64.0,100.0,32.0,2.0,0.0001,1.0,193.0,0.0,-1.871989e-05,3402.0,-1.4844371e-05,2730.0,"[1, 3, 26, 27, 39, 43, 44, 45, 46, 48, 49, 60, 69, 70, 74, 75, 161, 162, 166, 170, 178, 180, 181, 184, 185, 186, 1322, 1339, 2724, 2730, 2750, 2768, 2974, 2982, 2986, 2993, 3007, 3010, 3013, 3047, 3094, 3148, 3166, 3171, 3178, 3215, 3225, 3284, 3308, 3402]",1446.16,1450.462731131,"[5, 6, 13, 14, 15, 16, 20, 21, 23, 25, 26, 30, 41, 44, 51, 52, 53, 54, 55, 56, 57, 60, 97, 122, 126, 207, 210, 218, 352, 361, 362, 363, 371, 386, 393, 394, 395, 402, 408, 411, 412, 421, 945, 960, 1018, 1035, 1124, 1125, 1130, 1186, 1201, 1273, 1285, 1299, 1403, 1452, 1558, 1588, 1589, 1876, 1879, 1880, 2110, 2164, 2189, 2279, 2280, 2291, 2293, 2295, 2296, 2327, 2329, 2348, 2349, 2373, 2384, 2385, 2405, 2420, 2421, 2482, 2483, 2490, 2729, 2730]",1055.8837209302326,960.1094828389714,0.1151810519012618,0.131234569113425,0.9613194293182312,0.9728736175094388
