n_components,random_state,standardization,weighted,whiten,algorithm,max_fraud_eval,min_detect_eval,max_fraud_test,min_detect_test,fraud_ranks_eval,rank_mean_eval,rank_std_eval,fraud_ranks_test,rank_mean_test,rank_std_test,auc_pr_eval,auc_pr_test,auc_roc_eval,auc_roc_test
0.05,0.0,0.0,1.0,1.0,PCA,-24.669223740240728,36778.0,-25.05911342811731,37407.0,"[2, 3, 9, 10, 82, 137, 139, 169, 170, 198, 480, 482, 558, 565, 572, 574, 629, 632, 715, 718, 754, 761, 899, 921, 929, 930, 950, 951, 1241, 1632, 1910, 1982, 1991, 2145, 4642, 4765, 10051, 14478, 14480, 21298, 21311, 21413, 22551, 22690, 22691, 36477, 36478, 36479, 36777, 36778]",7763.98,11985.520231496002,"[3, 4, 7, 8, 10, 11, 22, 23, 25, 26, 50, 51, 62, 65, 83, 84, 90, 91, 161, 162, 199, 200, 296, 299, 329, 332, 405, 406, 460, 461, 473, 476, 533, 534, 538, 539, 620, 624, 636, 639, 708, 720, 759, 767, 780, 785, 809, 818, 847, 857, 1020, 1021, 1089, 1090, 2215, 2240, 2258, 2262, 2780, 2781, 4639, 4640, 4758, 4991, 9150, 9172, 9173, 9207, 9295, 9296, 9308, 9721, 9724, 14004, 21196, 21230, 21231, 21255, 21493, 21494, 21626, 22692, 22693, 30323, 37406, 37407]",5276.360465116279,8807.045397060176,0.0567173511335579,0.1001953285356763,0.7893029840993248,0.8597877745742001
0.4,0.0,0.0,0.0,1.0,PCA,-12.380510470415864,36778.0,-12.688567619139976,37406.0,"[2, 3, 9, 10, 78, 132, 133, 166, 167, 190, 479, 482, 560, 562, 575, 576, 631, 633, 714, 716, 768, 777, 841, 851, 876, 881, 890, 895, 983, 989, 1033, 1074, 1427, 1574, 2247, 2254, 17095, 21088, 21090, 21420, 28840, 35505, 36765, 36770, 36771, 36774, 36775, 36776, 36777, 36778]",9288.04,14328.968454093269,"[3, 4, 7, 8, 10, 11, 22, 23, 25, 26, 51, 53, 64, 65, 83, 84, 90, 91, 158, 159, 199, 200, 296, 297, 330, 331, 405, 406, 460, 461, 473, 474, 557, 558, 559, 560, 622, 623, 639, 640, 710, 711, 752, 756, 773, 774, 816, 818, 850, 856, 983, 984, 996, 997, 1249, 1268, 1374, 1389, 2178, 2179, 2239, 2240, 2341, 2523, 4000, 4749, 5446, 5447, 5521, 5522, 5606, 8325, 9439, 9603, 21653, 29370, 36832, 36833, 37393, 37394, 37401, 37402, 37403, 37404, 37405, 37406]",6144.616279069767,12047.518539409244,0.0584791504361724,0.1020656581426337,0.747807122631235,0.8365232368085054
0.4,0.0,0.0,0.0,0.0,PCA,-12.380510470415864,36778.0,-12.688567619139976,37406.0,"[2, 3, 9, 10, 78, 132, 133, 166, 167, 190, 479, 482, 560, 562, 575, 576, 631, 633, 714, 716, 768, 777, 841, 851, 876, 881, 890, 895, 983, 989, 1033, 1074, 1427, 1574, 2247, 2254, 17095, 21088, 21090, 21420, 28840, 35505, 36765, 36770, 36771, 36774, 36775, 36776, 36777, 36778]",9288.04,14328.968454093269,"[3, 4, 7, 8, 10, 11, 22, 23, 25, 26, 51, 53, 64, 65, 83, 84, 90, 91, 158, 159, 199, 200, 296, 297, 330, 331, 405, 406, 460, 461, 473, 474, 557, 558, 559, 560, 622, 623, 639, 640, 710, 711, 752, 756, 773, 774, 816, 818, 850, 856, 983, 984, 996, 997, 1249, 1268, 1374, 1389, 2178, 2179, 2239, 2240, 2341, 2523, 4000, 4749, 5446, 5447, 5521, 5522, 5606, 8325, 9439, 9603, 21653, 29370, 36832, 36833, 37393, 37394, 37401, 37402, 37403, 37404, 37405, 37406]",6144.616279069767,12047.518539409244,0.0584791504361724,0.1020656581426337,0.747807122631235,0.8365232368085054
0.6,0.0,0.0,1.0,1.0,PCA,-172.58430370933206,36778.0,-179.98959720144606,29599.0,"[1, 2, 8, 9, 80, 138, 139, 168, 169, 199, 479, 481, 555, 556, 567, 569, 624, 626, 712, 715, 765, 768, 828, 833, 850, 851, 856, 857, 914, 923, 967, 979, 1008, 1018, 1064, 1242, 3136, 4070, 5437, 5583, 12383, 12541, 28793, 28794, 29348, 29349, 35557, 36776, 36777, 36778]",6536.84,11816.442475398422,"[2, 3, 6, 7, 9, 10, 21, 22, 24, 25, 49, 50, 61, 62, 80, 81, 88, 89, 159, 160, 198, 199, 296, 298, 328, 330, 404, 405, 459, 460, 471, 472, 536, 537, 539, 540, 616, 619, 633, 639, 708, 710, 756, 763, 772, 776, 799, 800, 822, 827, 904, 905, 911, 912, 1010, 1024, 1027, 1043, 1075, 1076, 1079, 1080, 1081, 1092, 2137, 2516, 2658, 2659, 2738, 2739, 2807, 2825, 2994, 3377, 5847, 13074, 15913, 15914, 18138, 18139, 28977, 29235, 29236, 29342, 29598, 29599]",3748.848837209304,7941.95703360711,0.0787235879291518,0.1153799098545956,0.8227145502069266,0.9007167857986307
0.6,0.0,0.0,1.0,0.0,PCA,-172.58430370933206,36778.0,-179.98959720144606,29599.0,"[1, 2, 8, 9, 80, 138, 139, 168, 169, 199, 479, 481, 555, 556, 567, 569, 624, 626, 712, 715, 765, 768, 828, 833, 850, 851, 856, 857, 914, 923, 967, 979, 1008, 1018, 1064, 1242, 3136, 4070, 5437, 5583, 12383, 12541, 28793, 28794, 29348, 29349, 35557, 36776, 36777, 36778]",6536.84,11816.442475398422,"[2, 3, 6, 7, 9, 10, 21, 22, 24, 25, 49, 50, 61, 62, 80, 81, 88, 89, 159, 160, 198, 199, 296, 298, 328, 330, 404, 405, 459, 460, 471, 472, 536, 537, 539, 540, 616, 619, 633, 639, 708, 710, 756, 763, 772, 776, 799, 800, 822, 827, 904, 905, 911, 912, 1010, 1024, 1027, 1043, 1075, 1076, 1079, 1080, 1081, 1092, 2137, 2516, 2658, 2659, 2738, 2739, 2807, 2825, 2994, 3377, 5847, 13074, 15913, 15914, 18138, 18139, 28977, 29235, 29236, 29342, 29598, 29599]",3748.848837209304,7941.95703360711,0.0787235879291518,0.1153799098545956,0.8227145502069266,0.9007167857986307
0.6,0.0,0.0,0.0,1.0,PCA,-24.766037734143445,36778.0,-25.761360592650675,37406.0,"[1, 2, 8, 9, 80, 137, 139, 168, 169, 196, 480, 482, 556, 558, 570, 571, 627, 628, 713, 715, 765, 768, 829, 832, 849, 850, 854, 855, 949, 962, 993, 998, 1017, 1019, 1269, 1519, 5339, 5355, 5431, 9844, 12849, 16606, 29240, 29241, 36476, 36477, 36478, 36776, 36777, 36778]",7116.08,12546.566502178992,"[2, 3, 6, 7, 9, 10, 21, 22, 24, 25, 49, 50, 61, 62, 82, 83, 88, 89, 160, 161, 198, 199, 296, 298, 328, 329, 404, 405, 459, 460, 471, 472, 535, 536, 539, 540, 617, 620, 636, 638, 708, 709, 758, 761, 772, 775, 809, 811, 828, 833, 911, 912, 919, 920, 1045, 1051, 1056, 1059, 1109, 1110, 1139, 1140, 1230, 1313, 2712, 2727, 2769, 2770, 2790, 2791, 3179, 3610, 5272, 5585, 9590, 16553, 18195, 18196, 21985, 21986, 29404, 29488, 29587, 29607, 37405, 37406]",4259.058139534884,8940.201216915946,0.0782010511917058,0.1142587877619911,0.8069434763668046,0.8870459489420197
0.6,0.0,0.0,0.0,0.0,PCA,-24.766037734143445,36778.0,-25.761360592650675,37406.0,"[1, 2, 8, 9, 80, 137, 139, 168, 169, 196, 480, 482, 556, 558, 570, 571, 627, 628, 713, 715, 765, 768, 829, 832, 849, 850, 854, 855, 949, 962, 993, 998, 1017, 1019, 1269, 1519, 5339, 5355, 5431, 9844, 12849, 16606, 29240, 29241, 36476, 36477, 36478, 36776, 36777, 36778]",7116.08,12546.566502178992,"[2, 3, 6, 7, 9, 10, 21, 22, 24, 25, 49, 50, 61, 62, 82, 83, 88, 89, 160, 161, 198, 199, 296, 298, 328, 329, 404, 405, 459, 460, 471, 472, 535, 536, 539, 540, 617, 620, 636, 638, 708, 709, 758, 761, 772, 775, 809, 811, 828, 833, 911, 912, 919, 920, 1045, 1051, 1056, 1059, 1109, 1110, 1139, 1140, 1230, 1313, 2712, 2727, 2769, 2770, 2790, 2791, 3179, 3610, 5272, 5585, 9590, 16553, 18195, 18196, 21985, 21986, 29404, 29488, 29587, 29607, 37405, 37406]",4259.058139534884,8940.201216915946,0.0782010511917058,0.1142587877619911,0.8069434763668046,0.8870459489420197
0.8,0.0,0.0,1.0,1.0,PCA,-577.1382763674811,36778.0,-599.5617531837067,37407.0,"[1, 2, 8, 9, 80, 144, 145, 174, 175, 202, 485, 487, 562, 564, 567, 570, 621, 622, 719, 722, 768, 769, 845, 855, 878, 879, 882, 883, 923, 929, 973, 985, 1020, 1029, 1506, 1568, 3703, 3750, 4336, 5627, 5753, 5890, 29045, 36475, 36476, 36774, 36775, 36776, 36777, 36778]",6749.72,12770.980903658105,"[2, 3, 6, 7, 9, 10, 21, 22, 24, 25, 52, 53, 59, 60, 80, 81, 88, 89, 165, 166, 204, 205, 297, 301, 331, 332, 407, 408, 458, 459, 477, 478, 568, 569, 572, 573, 618, 619, 643, 644, 716, 718, 763, 764, 778, 780, 805, 812, 824, 835, 916, 917, 924, 925, 986, 999, 1039, 1049, 1239, 1240, 1241, 1323, 1324, 1487, 1997, 2138, 2748, 2749, 2780, 2781, 2927, 2934, 3581, 4090, 6358, 7733, 22234, 22235, 29642, 29643, 37401, 37403, 37404, 37405, 37406, 37407]",4704.476744186047,10483.63561198156,0.0782264614348523,0.113918377852075,0.8169184273578741,0.8751111507144491
0.8,0.0,0.0,1.0,0.0,PCA,-577.1382763674811,36778.0,-599.5617531837067,37407.0,"[1, 2, 8, 9, 80, 144, 145, 174, 175, 202, 485, 487, 562, 564, 567, 570, 621, 622, 719, 722, 768, 769, 845, 855, 878, 879, 882, 883, 923, 929, 973, 985, 1020, 1029, 1506, 1568, 3703, 3750, 4336, 5627, 5753, 5890, 29045, 36475, 36476, 36774, 36775, 36776, 36777, 36778]",6749.72,12770.980903658105,"[2, 3, 6, 7, 9, 10, 21, 22, 24, 25, 52, 53, 59, 60, 80, 81, 88, 89, 165, 166, 204, 205, 297, 301, 331, 332, 407, 408, 458, 459, 477, 478, 568, 569, 572, 573, 618, 619, 643, 644, 716, 718, 763, 764, 778, 780, 805, 812, 824, 835, 916, 917, 924, 925, 986, 999, 1039, 1049, 1239, 1240, 1241, 1323, 1324, 1487, 1997, 2138, 2748, 2749, 2780, 2781, 2927, 2934, 3581, 4090, 6358, 7733, 22234, 22235, 29642, 29643, 37401, 37403, 37404, 37405, 37406, 37407]",4704.476744186047,10483.63561198156,0.0782264614348523,0.113918377852075,0.8169184273578741,0.8751111507144491
0.8,0.0,0.0,0.0,1.0,PCA,-43.399742162769805,36778.0,-45.08578739307311,37407.0,"[1, 2, 8, 9, 80, 141, 142, 174, 175, 199, 481, 484, 560, 561, 568, 569, 627, 628, 716, 717, 768, 769, 832, 838, 870, 871, 875, 877, 942, 950, 992, 998, 1022, 1026, 1619, 1710, 5245, 5450, 5472, 5835, 8616, 10104, 36247, 36475, 36476, 36774, 36775, 36776, 36777, 36778]",7132.02,13047.69973671988,"[2, 3, 6, 7, 9, 10, 21, 22, 24, 25, 52, 53, 59, 60, 82, 83, 88, 89, 162, 163, 198, 199, 297, 299, 329, 332, 404, 405, 458, 459, 477, 478, 559, 560, 563, 564, 618, 620, 641, 643, 713, 717, 766, 767, 777, 779, 807, 809, 834, 835, 917, 918, 922, 923, 1024, 1036, 1052, 1057, 1082, 1083, 1256, 1257, 1264, 1284, 2555, 2642, 2788, 2789, 2814, 2815, 2903, 3143, 4937, 5412, 9142, 9905, 22163, 22164, 25190, 25191, 37401, 37402, 37403, 37404, 37406, 37407]",4697.418604651163,10271.863283413688,0.0779311831206777,0.1138752915387429,0.8065094750598998,0.8753002705004913
