cpus,n_layers,n_bottleneck,epochs,batch_size,verbose,learning_rate,shuffle,n_inputs,seed,fraud_ranks_eval,rank_mean_eval,rank_std_eval,max_fraud_eval,min_detect_eval,auc_pr_eval,auc_roc_eval,fraud_ranks_test,rank_mean_test,rank_std_test,max_fraud_test,min_detect_test,auc_pr_test,auc_roc_test,max_fraud_joint,min_detect_joint,fraud_ranks_joint,rank_mean_joint,rank_std_joint,auc_pr_joint,auc_roc_joint
8.0,4.0,16.0,100.0,32.0,2.0,1e-05,1.0,190.0,0.0,"[1, 3, 4, 6, 7, 9, 26, 28, 29, 31, 33, 34, 39, 40, 64, 67, 71, 79]",31.72222222222222,24.236807535361844,-0.042252358,79.0,0.4423460986804949,0.998871739326654,"[1, 2, 3, 4, 104, 105]",36.5,48.09279225275516,-0.009246401,105.0,0.6842032967032966,0.9983257229832572,-0.009246401,293.0,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 13, 30, 32, 33, 35, 37, 38, 43, 44, 102, 105, 109, 117, 292, 293]",57.25,79.27917444070668,0.5501742963877247,0.9988643861340912
8.0,3.0,32.0,100.0,32.0,2.0,0.0001,1.0,190.0,0.0,"[1, 3, 4, 6, 7, 9, 27, 28, 30, 31, 34, 35, 40, 41, 66, 72, 102, 104]",35.55555555555556,30.94120270272889,-0.00078571786,104.0,0.4307738007175046,0.998677114360502,"[1, 2, 3, 4, 43, 44]",16.166666666666668,19.35128476929173,-0.005593641,44.0,0.7087737843551797,0.9993573482157956,-0.00078571786,163.0,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 13, 31, 32, 34, 35, 38, 39, 44, 45, 103, 104, 115, 122, 161, 163]",47.083333333333336,50.278322587594566,0.5522046111260529,0.9991223840701078
8.0,2.0,32.0,100.0,32.0,2.0,0.0001,1.0,190.0,0.0,"[1, 3, 4, 6, 7, 9, 27, 28, 30, 31, 33, 37, 39, 42, 63, 66, 86, 113]",34.72222222222222,29.90504519968264,-0.0009144721,113.0,0.4329805646259575,0.9987194241357524,"[1, 2, 3, 4, 44, 45]",16.5,19.822125684867068,-0.0063189594,45.0,0.7078282828282828,0.9993404363267376,-0.0009144721,179.0,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 13, 31, 32, 34, 35, 37, 41, 43, 46, 104, 108, 111, 112, 138, 179]",46.458333333333336,49.39971252165565,0.5528454050308991,0.9991382445989612
8.0,4.0,16.0,100.0,32.0,2.0,0.001,1.0,190.0,0.0,"[1, 2, 4, 6, 8, 9, 26, 27, 30, 31, 33, 36, 41, 42, 81, 86, 117, 128]",39.333333333333336,37.623869492059896,-0.0034719338,128.0,0.4372594476036463,0.998485310046033,"[1, 2, 3, 4, 78, 86]",29.0,37.5588427226754,-0.0057911333,86.0,0.6889783343271715,0.9987062404870624,-0.0034719338,276.0,"[1, 2, 3, 4, 5, 6, 8, 10, 12, 13, 30, 31, 34, 35, 37, 40, 45, 46, 122, 138, 170, 182, 237, 276]",61.958333333333336,78.5506626147878,0.5430796413046546,0.9987449034833952
8.0,3.0,16.0,100.0,32.0,2.0,0.001,1.0,190.0,0.0,"[1, 3, 4, 6, 8, 10, 26, 27, 29, 31, 36, 38, 42, 44, 55, 61, 75, 80]",32.0,23.818760113266464,-0.007801269,80.0,0.4301403083285801,0.9988576360682372,"[1, 2, 3, 4, 52, 53]",19.166666666666668,23.58966346140237,-0.0055568563,53.0,0.7015602322206095,0.9992051412142736,-0.0055568563,167.0,"[1, 2, 3, 4, 5, 7, 8, 10, 12, 14, 30, 31, 33, 35, 40, 42, 46, 48, 90, 102, 118, 124, 165, 167]",47.375,50.67035005799743,0.5454304382430579,0.999114982489976
8.0,2.0,16.0,100.0,32.0,2.0,0.001,1.0,190.0,0.0,"[2, 3, 5, 6, 7, 9, 26, 28, 30, 31, 33, 35, 41, 42, 46, 52, 68, 98]",31.22222222222222,24.47800726174769,-0.00791837,98.0,0.4103256182360766,0.9988971251918044,"[1, 2, 3, 4, 59, 60]",21.5,26.88710967483613,-0.006223048,60.0,0.697457627118644,0.9990867579908675,-0.006223048,167.0,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 13, 30, 32, 34, 35, 37, 39, 45, 46, 55, 61, 101, 149, 166, 167]",44.29166666666666,49.7631717627493,0.5531496705498884,0.9991932277656532
8.0,4.0,32.0,100.0,32.0,2.0,0.001,1.0,190.0,0.0,"[2, 3, 5, 6, 7, 8, 26, 28, 29, 31, 34, 35, 39, 43, 65, 67, 70, 80]",32.111111111111114,24.32851296750125,-0.043925155,80.0,0.4082346223550692,0.9988519947648704,"[1, 2, 3, 4, 147, 154]",51.833333333333336,69.80309607905814,-0.0062265773,154.0,0.6788291074005359,0.9975477760865888,-0.0062265773,466.0,"[1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 30, 32, 33, 35, 38, 39, 43, 47, 88, 90, 96, 119, 457, 466]",69.91666666666667,122.42818189543704,0.5409284012314757,0.9985429460826608
8.0,3.0,32.0,100.0,32.0,2.0,0.001,1.0,190.0,0.0,"[6, 7, 8, 10, 12, 13, 14, 16, 17, 23, 36, 38, 41, 44, 72, 74, 90, 107]",34.888888888888886,30.26528794379772,-0.0022545727,107.0,0.3393357338691536,0.9987109621807022,"[1, 2, 3, 4, 55, 57]",20.33333333333333,25.24326092687357,-0.0054436717,57.0,0.6993620414673045,0.9991459496025706,-0.0022545727,184.0,"[1, 2, 3, 4, 10, 11, 12, 14, 16, 17, 18, 20, 21, 27, 40, 42, 45, 48, 112, 114, 144, 146, 150, 184]",50.04166666666666,55.74157572125935,0.505571957756575,0.9990473109002012
8.0,2.0,32.0,100.0,32.0,2.0,0.001,1.0,190.0,0.0,"[1, 2, 4, 6, 7, 9, 26, 28, 29, 32, 36, 38, 43, 44, 69, 81, 98, 136]",38.27777777777778,35.81248316742758,-0.00069895637,136.0,0.4410003253580096,0.9985389024280172,"[1, 2, 3, 4, 43, 44]",16.166666666666668,19.35128476929173,-0.005371036,44.0,0.7087737843551797,0.9993573482157956,-0.00069895637,202.0,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 13, 30, 32, 33, 36, 40, 42, 47, 48, 111, 112, 115, 132, 157, 202]",50.0,55.4143483224336,0.5518286960023199,0.9990483682687916
8.0,3.0,16.0,100.0,32.0,2.0,1e-05,1.0,190.0,0.0,"[1, 2, 4, 5, 7, 8, 25, 28, 29, 31, 33, 35, 40, 41, 53, 61, 76, 77]",30.88888888888889,23.600585889358506,-0.042535692,77.0,0.4754635420975784,0.9989140491019044,"[1, 2, 3, 4, 187, 190]",64.5,87.69026931953928,-0.010517268,190.0,0.6763861525471432,0.9969051243023844,-0.010517268,480.0,"[1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 29, 32, 33, 35, 37, 39, 44, 45, 74, 82, 114, 115, 477, 480]",70.70833333333333,127.13001191911984,0.5641696387695666,0.9985228560794464
