cpus,n_layers,n_bottleneck,epochs,batch_size,verbose,learning_rate,shuffle,n_inputs,seed,fraud_ranks_eval,rank_mean_eval,rank_std_eval,max_fraud_eval,min_detect_eval,auc_pr_eval,auc_roc_eval,fraud_ranks_test,rank_mean_test,rank_std_test,max_fraud_test,min_detect_test,auc_pr_test,auc_roc_test,max_fraud_joint,min_detect_joint,fraud_ranks_joint,rank_mean_joint,rank_std_joint,auc_pr_joint,auc_roc_joint
8.0,4.0,16.0,100.0,32.0,2.0,1e-05,1.0,190.0,0.0,"[2, 4, 9, 10, 11, 13, 27, 28, 30, 32, 36, 38, 42, 44, 65, 68, 84, 95]",35.44444444444444,26.54602339380969,-0.06642215,95.0,0.3285477464635531,0.9986827556638684,"[1, 2, 3, 4, 51, 53]",19.0,23.35950912726264,-0.05070589,53.0,0.7018744604760142,0.9992135971588026,-0.05070589,154.0,"[1, 2, 3, 4, 6, 8, 13, 14, 15, 17, 31, 32, 34, 36, 40, 42, 46, 48, 72, 75, 114, 136, 152, 154]",45.625,46.72241833424293,0.502781150354129,0.999159391970766
8.0,3.0,32.0,100.0,32.0,2.0,0.0001,1.0,190.0,0.0,"[2, 3, 6, 7, 9, 10, 27, 28, 30, 32, 36, 38, 42, 44, 71, 73, 90, 115]",36.833333333333336,31.11850110643363,-0.026511569,115.0,0.3653350728563688,0.9986122393717844,"[1, 2, 3, 4, 60, 61]",21.83333333333333,27.358220377470136,-0.0181201,61.0,0.6969489981785063,0.9990698461018096,-0.0181201,186.0,"[1, 2, 3, 4, 6, 7, 10, 11, 13, 14, 31, 32, 34, 36, 40, 42, 46, 48, 89, 91, 129, 171, 182, 186]",51.16666666666666,57.69652406245015,0.5210856408812176,0.9990187619482652
8.0,2.0,32.0,100.0,32.0,2.0,0.0001,1.0,190.0,0.0,"[1, 3, 5, 7, 11, 12, 27, 29, 33, 34, 36, 38, 42, 44, 69, 71, 84, 89]",35.27777777777778,26.85517859341008,-0.036546968,89.0,0.3883905087785017,0.9986912176189188,"[1, 2, 3, 4, 69, 70]",24.83333333333333,31.598611080587425,-0.006820828,70.0,0.6930296756383713,0.9989176391002874,-0.006820828,278.0,"[1, 2, 3, 4, 5, 7, 9, 11, 15, 16, 31, 33, 37, 38, 40, 42, 47, 49, 85, 87, 135, 140, 276, 278]",57.958333333333336,76.12570698449301,0.5185924765582107,0.9988464108680574
8.0,4.0,16.0,100.0,32.0,2.0,0.001,1.0,190.0,0.0,"[2, 3, 5, 7, 10, 11, 16, 17, 18, 20, 37, 39, 44, 45, 70, 75, 161, 168]",41.55555555555556,48.31289478461351,-0.06478017,168.0,0.3968636248484927,0.9983724839786984,"[1, 2, 3, 4, 41, 60]",18.5,23.30057223903882,-0.08564076,60.0,0.7036585365853658,0.9992389649923896,-0.06478017,234.0,"[2, 3, 4, 5, 6, 7, 9, 11, 14, 15, 20, 21, 22, 24, 41, 43, 48, 49, 96, 115, 120, 144, 226, 234]",53.29166666666666,66.50405950433068,0.4950329148589156,0.9989648361501632
8.0,3.0,16.0,100.0,32.0,2.0,0.001,1.0,190.0,0.0,"[1, 3, 16, 17, 23, 24, 27, 30, 31, 33, 39, 40, 43, 44, 68, 74, 120, 126]",42.16666666666666,33.843184116024176,-0.040605765,126.0,0.3111121022736408,0.9983414568101816,"[1, 2, 3, 4, 20, 23]",8.833333333333334,9.044642367476756,-0.07771593,23.0,0.7518115942028986,0.999729409775072,-0.040605765,187.0,"[1, 3, 4, 5, 6, 7, 20, 21, 27, 28, 31, 34, 35, 37, 43, 44, 47, 48, 85, 92, 96, 107, 180, 187]",49.5,50.17303392593808,0.4315305075683241,0.9990610566918744
8.0,2.0,16.0,100.0,32.0,2.0,0.001,1.0,190.0,0.0,"[1, 3, 5, 7, 8, 9, 12, 14, 18, 20, 36, 37, 42, 43, 93, 94, 110, 114]",37.0,37.64601203610048,-0.05177897,114.0,0.455191787455666,0.9986037774167345,"[1, 2, 3, 4, 57, 60]",21.166666666666668,26.428625053570645,-0.033122197,60.0,0.6979532163742689,0.9991036698799256,-0.033122197,270.0,"[1, 3, 5, 6, 7, 8, 9, 11, 12, 13, 16, 18, 22, 24, 40, 41, 46, 47, 117, 118, 156, 162, 265, 270]",59.04166666666666,78.42219029430099,0.5102533808054648,0.9988189192847112
8.0,4.0,32.0,100.0,32.0,2.0,0.001,1.0,190.0,0.0,"[2, 3, 6, 7, 9, 10, 13, 14, 16, 17, 39, 40, 46, 48, 51, 53, 56, 61]",27.27777777777778,20.552927759960937,-1.9246156,61.0,0.4447367042958261,0.9990973914613231,"[1, 2, 3, 4, 42, 46]",16.333333333333332,19.61858529274955,-0.119656235,46.0,0.708247066942719,0.9993488922712668,-0.119656235,135.0,"[2, 3, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 20, 21, 43, 44, 52, 54, 66, 69, 73, 78, 131, 135]",37.66666666666666,37.390581107486895,0.4944815354507575,0.9993613493715
8.0,3.0,32.0,100.0,32.0,2.0,0.001,1.0,190.0,0.0,"[2, 3, 5, 6, 8, 10, 13, 14, 16, 17, 34, 35, 43, 44, 62, 69, 89, 107]",32.05555555555556,30.544088757477954,-0.08330008,107.0,0.4466059871334758,0.998854815416554,"[1, 2, 3, 4, 69, 71]",25.0,31.83813227352802,-0.08274849,71.0,0.6928284683949104,0.9989091831557584,-0.08274849,179.0,"[2, 3, 5, 6, 8, 10, 11, 12, 13, 14, 17, 18, 20, 21, 38, 39, 49, 50, 79, 102, 143, 173, 177, 179]",49.54166666666666,58.336651691330005,0.4785378533418521,0.9990599993232842
8.0,2.0,32.0,100.0,32.0,2.0,0.001,1.0,190.0,0.0,"[3, 4, 6, 7, 9, 10, 16, 17, 19, 20, 34, 36, 41, 42, 69, 78, 80, 100]",32.833333333333336,29.187611527267293,-0.0391164,100.0,0.3924654813765003,0.9988153262929867,"[1, 2, 3, 4, 19, 20]",8.166666666666666,8.070866675202168,-0.09941815,20.0,0.7605263157894736,0.999763233553188,-0.0391164,138.0,"[2, 3, 4, 5, 7, 8, 10, 11, 13, 14, 20, 21, 23, 24, 38, 40, 46, 47, 87, 89, 90, 102, 109, 138]",39.625,39.42483618651234,0.5045470968808421,0.9993116530477592
8.0,3.0,16.0,100.0,32.0,2.0,1e-05,1.0,190.0,0.0,"[2, 4, 9, 10, 11, 12, 31, 32, 33, 35, 40, 41, 42, 43, 69, 70, 77, 91]",36.22222222222222,25.72624158661423,-0.094568536,91.0,0.3216366156186576,0.9986432665403014,"[1, 2, 3, 4, 75, 96]",30.166666666666668,39.603942003571085,-0.024927204,96.0,0.6881944444444443,0.9986470488753594,-0.024927204,371.0,"[1, 2, 3, 4, 6, 8, 13, 14, 15, 16, 35, 36, 37, 39, 44, 45, 46, 47, 77, 78, 94, 117, 282, 371]",59.583333333333336,86.88398234938872,0.4910845435661404,0.9988051734930382
