cpus,n_layers,n_bottleneck,epochs,batch_size,verbose,learning_rate,shuffle,n_inputs,seed,fraud_ranks_eval,rank_mean_eval,rank_std_eval,max_fraud_eval,min_detect_eval,auc_pr_eval,auc_roc_eval,fraud_ranks_test,rank_mean_test,rank_std_test,max_fraud_test,min_detect_test,auc_pr_test,auc_roc_test,max_fraud_joint,min_detect_joint,fraud_ranks_joint,rank_mean_joint,rank_std_joint,auc_pr_joint,auc_roc_joint
8.0,1.0,16.0,100.0,32.0,2.0,0.0001,1.0,240.0,0.0,"[1, 9, 75, 77, 79, 80, 81, 82, 87, 88, 205, 230, 231, 233, 234, 264, 265, 277]",144.33333333333334,91.85677256831238,-0.03687351,277.0,0.1311407553163109,0.9931542783644732,"[1, 19, 74, 75, 102, 329]",100.0,108.0956366680296,-0.031856067,329.0,0.2110656202797695,0.9951040081177068,-0.031856067,832.0,"[1, 3, 13, 93, 95, 97, 98, 99, 100, 105, 107, 108, 278, 279, 280, 310, 311, 313, 314, 364, 376, 377, 404, 832]",223.2083333333333,181.3640397944299,0.1358697423768061,0.9946528870391989
8.0,1.0,32.0,100.0,32.0,2.0,0.001,1.0,240.0,0.0,"[1, 2, 15, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 46, 47, 48, 49, 50]",27.27777777777778,14.711316715582356,-0.03629866,50.0,0.4172354388415935,0.9990973914613231,"[1, 22, 27, 56, 60, 61]",37.833333333333336,22.6672794034828,-0.027254619,61.0,0.2425237937533019,0.9982580754270252,-0.027254619,126.0,"[1, 2, 3, 24, 31, 32, 37, 38, 39, 40, 42, 43, 44, 45, 61, 72, 73, 78, 79, 80, 84, 119, 124, 126]",54.875,34.905005013608005,0.3270825634472656,0.9989246561437344
8.0,2.0,32.0,100.0,32.0,2.0,0.001,1.0,240.0,0.0,"[1, 3, 7, 12, 13, 21, 23, 24, 27, 29, 30, 31, 32, 33, 34, 46, 49, 51]",25.88888888888889,14.282424665335633,-0.034796014,51.0,0.4226655897622461,0.9991679077534072,"[1, 5, 23, 60, 62, 79]",38.333333333333336,30.064744949673013,-0.021858731,79.0,0.292282662942382,0.9982327075934384,-0.021858731,343.0,"[1, 2, 4, 11, 12, 27, 28, 43, 44, 46, 47, 50, 52, 53, 54, 56, 57, 59, 76, 85, 87, 197, 201, 343]",68.125,75.48416638607067,0.3274742917639789,0.9985884129320408
8.0,1.0,64.0,100.0,32.0,2.0,0.001,1.0,240.0,0.0,"[4, 5, 13, 22, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 51, 52]",35.94444444444444,14.53146861975463,-0.019692462,52.0,0.2643591522323174,0.9986573697987184,"[9, 50, 51, 71, 72, 74]",54.5,22.58871399615304,-0.009461665,74.0,0.0694663657029025,0.9974124809741248,-0.009461665,211.0,"[4, 7, 15, 35, 55, 70, 71, 72, 75, 76, 79, 80, 81, 82, 83, 84, 85, 88, 89, 161, 165, 207, 208, 211]",90.95833333333331,57.389371233317725,0.1550085019882416,0.9980089749445938
8.0,2.0,64.0,100.0,32.0,2.0,0.001,1.0,240.0,0.0,"[1, 2, 7, 9, 10, 11, 14, 15, 22, 23, 24, 25, 32, 41, 43, 46, 47, 52]",23.55555555555556,15.962533293177572,-0.03480576,52.0,0.5012494745994645,0.9992863751241088,"[1, 14, 21, 55, 58, 63]",35.333333333333336,24.170689320377736,-0.025824847,63.0,0.2566477583718963,0.9983849145949604,-0.025824847,134.0,"[1, 2, 3, 11, 16, 17, 18, 21, 22, 31, 32, 33, 34, 45, 46, 55, 66, 68, 72, 73, 80, 119, 123, 134]",46.75,37.64444403450085,0.3971048288837881,0.9991308430188296
8.0,1.0,128.0,100.0,32.0,2.0,0.001,1.0,240.0,0.0,"[5, 10, 15, 16, 17, 18, 22, 26, 27, 28, 29, 31, 37, 38, 42, 43, 54, 122]",32.22222222222222,24.979003528642824,-0.0010010682,122.0,0.309165307773278,0.9988463534615036,"[1, 16, 19, 42, 43, 44]",27.5,16.479785597310826,-0.0043280656,44.0,0.2717959230352131,0.9987823439878234,-0.0010010682,206.0,"[2, 6, 22, 26, 33, 53, 56, 57, 58, 63, 67, 68, 69, 70, 72, 73, 74, 77, 83, 84, 89, 90, 103, 206]",66.70833333333333,38.57836091069132,0.2049534612750216,0.9986243634641088
8.0,2.0,128.0,100.0,32.0,2.0,0.001,1.0,240.0,0.0,"[4, 7, 19, 29, 34, 36, 37, 38, 39, 40, 43, 44, 45, 46, 47, 50, 51, 52]",36.72222222222222,13.58023709315021,-0.020882381,52.0,0.2522017811615251,0.9986178806751512,"[1, 47, 48, 73, 74, 75]",53.0,26.10874693788782,-0.009722591,75.0,0.2179025466008124,0.9974885844748858,-0.009722591,211.0,"[1, 5, 8, 37, 64, 69, 71, 72, 73, 74, 75, 78, 79, 80, 81, 82, 85, 86, 87, 142, 153, 209, 210, 211]",88.83333333333333,56.881944020537446,0.2006547845389864,0.9980629007426955
8.0,1.0,16.0,100.0,32.0,2.0,0.01,1.0,240.0,0.0,"[10, 17, 18, 20, 21, 22, 23, 24, 25, 45, 58, 59, 135, 157, 158, 159, 160, 161]",70.66666666666667,61.18732621130693,-0.057582427,161.0,0.1875944698794275,0.9968944624966152,"[27, 40, 41, 99, 106, 128]",73.5,38.76746918057286,-0.0611846,128.0,0.0491094367448582,0.9964485032978184,-0.057582427,312.0,"[35, 37, 56, 57, 58, 60, 61, 62, 64, 65, 66, 67, 138, 156, 163, 164, 165, 261, 264, 303, 309, 310, 311, 312]",147.66666666666666,103.41770748871888,0.0950646927119343,0.9965698962932886
8.0,2.0,16.0,100.0,32.0,2.0,0.01,1.0,240.0,0.0,"[16, 17, 18, 20, 21, 22, 23, 24, 25, 45, 72, 73, 159, 166, 168, 169, 170, 171]",76.61111111111111,66.07162686466265,-0.05856804,171.0,0.1788312200725328,0.9965926527664952,"[27, 40, 41, 121, 124, 160]",85.5,51.25995838208741,-0.06219026,160.0,0.0451813667715308,0.99583967529173,-0.05856804,336.0,"[36, 55, 56, 57, 58, 60, 61, 62, 64, 65, 66, 67, 138, 192, 193, 194, 198, 318, 320, 329, 333, 334, 335, 336]",163.625,117.11348218003482,0.0895132541366996,0.99616492412323
8.0,1.0,32.0,100.0,32.0,2.0,0.01,1.0,240.0,0.0,"[1, 72, 75, 76, 77, 78, 79, 80, 105, 106, 251, 257, 258, 259, 260, 262, 263, 361]",162.22222222222223,102.2635785906832,-0.035895325,361.0,0.1161034950394607,0.9922460285224298,"[1, 19, 97, 99, 101, 341]",109.66666666666669,110.97547276563212,-0.030486813,341.0,0.2072825486272103,0.9946135633350244,-0.030486813,867.0,"[1, 3, 86, 93, 94, 95, 96, 97, 98, 105, 145, 146, 332, 350, 351, 352, 353, 358, 360, 362, 363, 364, 546, 867]",250.7083333333333,195.18313604720623,0.1228290874636326,0.9939550237696458
8.0,2.0,32.0,100.0,32.0,2.0,0.01,1.0,240.0,0.0,"[1, 13, 75, 76, 78, 79, 80, 81, 105, 106, 251, 256, 257, 259, 260, 262, 263, 361]",159.05555555555554,105.71001856348036,-0.03606373,361.0,0.1228837140379949,0.9924068056683816,"[1, 19, 94, 99, 100, 342]",109.16666666666669,111.39930680015722,-0.030541677,342.0,0.2075209919274868,0.9946389311686116,-0.030541677,867.0,"[1, 2, 27, 93, 94, 96, 97, 98, 99, 105, 145, 146, 332, 347, 348, 352, 353, 354, 360, 361, 363, 364, 546, 867]",247.91666666666663,197.2802399014041,0.1398149200421189,0.9940258674651914
8.0,2.0,16.0,100.0,32.0,2.0,0.0001,1.0,240.0,0.0,"[1, 9, 75, 76, 79, 80, 81, 82, 87, 88, 177, 208, 209, 210, 211, 264, 265, 280]",137.88888888888889,86.82606424397437,-0.036822002,280.0,0.1330462228607351,0.9934814739597436,"[1, 19, 52, 53, 60, 351]",89.33333333333333,118.87902347438012,-0.031358875,351.0,0.223142419021267,0.995645188567563,-0.031358875,874.0,"[1, 2, 13, 93, 94, 97, 98, 99, 100, 101, 106, 108, 228, 229, 232, 239, 288, 289, 290, 291, 375, 377, 425, 874]",210.375,183.1735999218592,0.1529607939317653,0.99497855656499
