cpus,n_layers,n_bottleneck,epochs,batch_size,verbose,learning_rate,shuffle,n_inputs,seed,fraud_ranks_eval,rank_mean_eval,rank_std_eval,max_fraud_eval,min_detect_eval,auc_pr_eval,auc_roc_eval,fraud_ranks_test,rank_mean_test,rank_std_test,max_fraud_test,min_detect_test,auc_pr_test,auc_roc_test,max_fraud_joint,min_detect_joint,fraud_ranks_joint,rank_mean_joint,rank_std_joint,auc_pr_joint,auc_roc_joint
8.0,1.0,16.0,100.0,32.0,2.0,0.0001,1.0,190.0,0.0,"[2, 3, 5, 6, 8, 9, 27, 28, 30, 31, 34, 35, 40, 41, 52, 61, 119, 132]",36.833333333333336,35.62497563351993,-0.032683827,132.0,0.3919656421689089,0.9986122393717844,"[1, 2, 3, 4, 419, 579]",168.0,238.56794978929307,-0.013334821,579.0,0.6703826447541436,0.9916539827498732,-0.013334821,1390.0,"[1, 2, 3, 4, 6, 7, 9, 10, 12, 13, 31, 32, 34, 35, 38, 39, 44, 45, 56, 74, 204, 219, 1046, 1390]",139.75,333.3906929814728,0.5309684072445877,0.9967707963254328
8.0,1.0,32.0,100.0,32.0,2.0,0.001,1.0,190.0,0.0,"[2, 3, 5, 6, 8, 9, 26, 28, 29, 31, 33, 35, 40, 41, 55, 60, 64, 70]",30.27777777777778,21.33803478287215,-0.030435849,70.0,0.4065381230585539,0.9989450762704216,"[1, 2, 3, 4, 146, 147]",50.5,67.88900254582231,-0.01018331,147.0,0.6791771503121796,0.997615423642821,-0.01018331,389.0,"[1, 2, 3, 4, 6, 7, 9, 10, 12, 13, 30, 32, 33, 35, 37, 39, 44, 45, 70, 82, 86, 92, 388, 389]",61.208333333333336,102.29287168333003,0.5435307812698582,0.9987639361180194
8.0,2.0,32.0,100.0,32.0,2.0,0.001,1.0,190.0,0.0,"[2, 3, 4, 6, 8, 9, 27, 28, 29, 31, 34, 35, 40, 41, 54, 62, 69, 78]",31.11111111111111,22.815416057493746,-0.029157694,78.0,0.4110409624026267,0.9989027664951712,"[1, 2, 3, 4, 178, 183]",61.833333333333336,83.92738263258038,-0.007177904,183.0,0.6768127954810584,0.9970404194148486,-0.007177904,464.0,"[1, 2, 3, 4, 6, 7, 8, 10, 12, 13, 31, 32, 33, 35, 38, 39, 44, 45, 67, 84, 99, 116, 459, 464]",68.83333333333333,122.28439075459394,0.5427136972760197,0.9985704376660068
8.0,1.0,64.0,100.0,32.0,2.0,0.001,1.0,190.0,0.0,"[6, 7, 9, 10, 12, 13, 27, 30, 34, 35, 36, 40, 43, 44, 52, 60, 64, 71]",32.94444444444444,19.96517028956573,-0.012667692,71.0,0.3022557108296698,0.99880968498962,"[1, 2, 3, 4, 45, 46]",16.833333333333332,20.292992769809867,-0.005715318,46.0,0.7069243156199677,0.9993235244376796,-0.005715318,126.0,"[1, 2, 3, 4, 10, 11, 13, 14, 16, 17, 31, 34, 38, 39, 40, 44, 47, 48, 78, 93, 103, 111, 125, 126]",43.66666666666666,39.630235370933086,0.4760616391620469,0.9992090882945068
8.0,2.0,64.0,100.0,32.0,2.0,0.001,1.0,190.0,0.0,"[2, 3, 5, 6, 8, 9, 27, 28, 30, 31, 34, 35, 40, 41, 55, 60, 67, 75]",30.88888888888889,22.13566475895828,-0.02692705,75.0,0.403251635670464,0.9989140491019044,"[1, 2, 3, 4, 158, 159]",54.5,73.54533749101071,-0.008789927,159.0,0.6782302364461428,0.9974124809741248,-0.008789927,431.0,"[1, 2, 3, 4, 6, 7, 9, 10, 12, 13, 31, 32, 34, 35, 38, 39, 44, 45, 78, 87, 103, 113, 427, 431]",66.83333333333333,113.61875823217848,0.5363596025888312,0.998621191358338
8.0,1.0,128.0,100.0,32.0,2.0,0.001,1.0,190.0,0.0,"[3, 4, 6, 7, 8, 9, 27, 28, 30, 31, 34, 36, 40, 43, 54, 63, 68, 76]",31.5,22.304085325837107,-0.007605883,76.0,0.3716675021677484,0.9988830219333876,"[1, 2, 3, 4, 39, 40]",14.833333333333334,17.468225121313523,-0.0055803363,40.0,0.7130341880341879,0.9994249957720276,-0.0055803363,118.0,"[1, 2, 3, 4, 7, 8, 10, 11, 12, 13, 31, 32, 34, 35, 38, 40, 44, 47, 79, 101, 106, 114, 117, 118]",41.958333333333336,39.93064734288967,0.5298605368911488,0.9992524404067062
8.0,2.0,128.0,100.0,32.0,2.0,0.001,1.0,190.0,0.0,"[4, 5, 7, 8, 10, 11, 14, 15, 25, 26, 28, 32, 40, 42, 67, 70, 78, 84]",31.444444444444443,25.82036711638104,-0.0015548976,84.0,0.3729362014436641,0.9988858425850708,"[1, 2, 3, 4, 8, 19]",6.166666666666667,6.148622248565572,-0.0073354677,19.0,0.8234649122807017,0.999864704887536,-0.0015548976,133.0,"[1, 2, 3, 4, 8, 9, 11, 12, 14, 15, 18, 19, 29, 30, 32, 36, 44, 46, 57, 69, 116, 119, 127, 133]",39.75,41.4238759654381,0.545973588467914,0.9993084809419884
8.0,1.0,16.0,100.0,32.0,2.0,0.01,1.0,190.0,0.0,"[1, 3, 4, 5, 7, 9, 26, 28, 29, 31, 33, 35, 39, 41, 70, 75, 436, 440]",72.88888888888889,130.71380480053398,-0.048939303,440.0,0.4246664313158759,0.9967816364292806,"[1, 2, 3, 4, 300, 437]",124.5,177.01106368435467,-0.041939978,437.0,0.6717327739638952,0.9938609842719432,-0.041939978,970.0,"[1, 2, 3, 4, 5, 7, 8, 9, 11, 13, 30, 32, 33, 35, 37, 39, 43, 45, 113, 118, 735, 739, 741, 970]",157.20833333333334,290.2164392263509,0.5336173732327149,0.9963277588861256
8.0,2.0,16.0,100.0,32.0,2.0,0.01,1.0,190.0,0.0,"[1, 3, 4, 5, 7, 9, 26, 28, 29, 31, 33, 35, 39, 41, 70, 75, 436, 439]",72.83333333333333,130.55788413999022,-0.049001288,439.0,0.4246716083711669,0.996784457080964,"[1, 2, 3, 4, 300, 437]",124.5,177.01106368435467,-0.041957684,437.0,0.6717327739638952,0.9938609842719432,-0.041957684,970.0,"[1, 2, 3, 4, 5, 7, 8, 9, 11, 13, 30, 32, 33, 35, 37, 39, 43, 45, 113, 118, 735, 738, 741, 970]",157.16666666666666,290.1329676008724,0.533619054011814,0.996328816254716
8.0,1.0,32.0,100.0,32.0,2.0,0.01,1.0,190.0,0.0,"[2, 3, 5, 6, 8, 9, 27, 28, 30, 31, 34, 35, 40, 41, 56, 62, 439, 452]",72.66666666666667,132.96031153861082,-0.0337142,452.0,0.379437400044604,0.996792919036014,"[1, 2, 3, 4, 496, 545]",175.16666666666666,244.59859407245625,-0.014932245,545.0,0.6701816365788694,0.991290377135126,-0.014932245,1347.0,"[1, 2, 3, 4, 6, 7, 9, 10, 12, 13, 31, 32, 34, 35, 38, 39, 44, 45, 60, 66, 707, 728, 1274, 1347]",189.4583333333333,388.6787425761223,0.5252718226838162,0.9955093555972864
8.0,2.0,32.0,100.0,32.0,2.0,0.01,1.0,190.0,0.0,"[1, 3, 4, 6, 7, 9, 27, 28, 30, 31, 34, 35, 40, 41, 56, 62, 439, 449]",72.33333333333333,132.57115489845862,-0.033888143,449.0,0.4205236107277066,0.9968098429461144,"[1, 2, 3, 4, 496, 544]",175.0,244.34674815379336,-0.015047357,544.0,0.670185009487666,0.991298833079655,-0.015047357,1346.0,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 13, 31, 32, 34, 35, 38, 39, 44, 45, 60, 66, 703, 723, 1275, 1346]",188.9583333333333,388.2202423846833,0.5391238135411979,0.9955220440203691
8.0,2.0,16.0,100.0,32.0,2.0,0.0001,1.0,190.0,0.0,"[1, 3, 4, 6, 7, 9, 26, 28, 29, 31, 33, 35, 39, 41, 53, 63, 441, 450]",72.16666666666667,133.1216027213882,-0.03366158,450.0,0.4232599633813039,0.9968183049011644,"[1, 2, 3, 4, 496, 536]",173.66666666666666,242.3431909962032,-0.0156515,536.0,0.6702124458353393,0.9913664806358872,-0.0156515,1334.0,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 13, 30, 32, 33, 35, 37, 39, 43, 45, 70, 84, 721, 731, 1275, 1334]",190.54166666666663,387.919233342744,0.5362895066902758,0.9954818640139405
8.0,1.0,64.0,100.0,32.0,2.0,0.01,1.0,190.0,0.0,"[2, 3, 5, 6, 8, 9, 27, 28, 30, 31, 34, 35, 40, 41, 54, 60, 67, 77]",30.944444444444443,22.30214793398017,-0.026374284,77.0,0.4031858989380606,0.9989112284502212,"[1, 2, 3, 4, 247, 249]",84.33333333333333,115.73485022047404,-0.006286907,249.0,0.6740565500869875,0.9958988669034332,-0.006286907,599.0,"[1, 2, 3, 4, 6, 7, 9, 10, 12, 13, 31, 32, 34, 35, 38, 39, 44, 45, 69, 82, 93, 115, 597, 599]",80.0,159.01650857693988,0.5377500656450104,0.9982870628838248
8.0,2.0,64.0,100.0,32.0,2.0,0.01,1.0,190.0,0.0,"[2, 3, 5, 6, 8, 9, 27, 28, 30, 31, 34, 35, 40, 41, 56, 62, 67, 74]",31.0,22.23860507216124,-0.028439956,74.0,0.4026833558279906,0.9989084077985376,"[1, 2, 3, 4, 181, 183]",62.333333333333336,84.62400499989481,-0.007113307,183.0,0.676735199106361,0.9970150515812616,-0.007113307,464.0,"[1, 2, 3, 4, 6, 7, 9, 10, 12, 13, 31, 32, 34, 35, 38, 39, 44, 45, 65, 77, 89, 104, 462, 464]",67.75,122.3673601632941,0.5413367681060296,0.998597929249353
8.0,1.0,128.0,100.0,32.0,2.0,0.01,1.0,190.0,0.0,"[7, 8, 10, 11, 13, 14, 36, 37, 39, 40, 55, 56, 61, 62, 320, 325, 388, 398]",104.44444444444444,137.6041917248414,-3.6536996e-05,398.0,0.2110813035544952,0.9951795062731292,"[1, 2, 3, 4, 8, 9]",4.5,2.98607881119482,-0.0053982465,9.0,0.8819444444444444,0.999949264332826,-3.6536996e-05,469.0,"[2, 3, 4, 5, 11, 12, 14, 15, 17, 18, 38, 39, 82, 83, 85, 86, 104, 105, 113, 114, 390, 395, 459, 469]",110.95833333333331,147.68250832068398,0.3319042269485188,0.9975014380212828
8.0,2.0,128.0,100.0,32.0,2.0,0.01,1.0,190.0,0.0,"[2, 3, 5, 6, 8, 9, 27, 29, 31, 32, 37, 38, 43, 44, 61, 64, 73, 75]",32.611111111111114,23.5705534015288,-0.026473904,75.0,0.3925175795056468,0.9988266088997202,"[1, 2, 3, 4, 51, 54]",19.166666666666668,23.60378971455408,-0.005940809,54.0,0.7015250544662308,0.9992051412142736,-0.005940809,149.0,"[1, 2, 3, 4, 6, 7, 9, 10, 12, 13, 31, 33, 35, 36, 41, 42, 47, 48, 99, 102, 111, 113, 145, 149]",45.79166666666666,46.248404627138825,0.5350565429746128,0.9991551624964048
8.0,1.0,32.0,100.0,32.0,2.0,0.0001,1.0,190.0,0.0,"[2, 3, 5, 6, 8, 9, 27, 28, 30, 31, 34, 35, 40, 41, 55, 61, 67, 70]",30.666666666666668,21.682045823932555,-0.030259915,70.0,0.4039611508062086,0.998925331708638,"[1, 2, 3, 4, 186, 187]",63.833333333333336,86.74371575060768,-0.009722442,187.0,0.6764945469879056,0.9969389480805008,-0.009722442,474.0,"[1, 2, 3, 4, 6, 7, 9, 10, 12, 13, 31, 32, 34, 35, 38, 39, 44, 45, 77, 83, 92, 99, 471, 474]",69.20833333333333,124.92430346902968,0.5386957772575385,0.9985609213486948
