cache_size,gamma,kernel,max_iter,nu,shrinking,tol,max_fraud_eval,min_detect_eval,max_fraud_test,min_detect_test,fraud_ranks_eval,rank_mean_eval,rank_std_eval,fraud_ranks_test,rank_mean_test,rank_std_test,auc_pr_eval,auc_pr_test,auc_roc_eval,auc_roc_test,max_fraud_joint,min_detect_joint,fraud_ranks_joint,rank_mean_joint,rank_std_joint,auc_pr_joint,auc_roc_joint
500.0,1000.0,rbf,-1.0,0.8,1.0,0.001,0.0,1542.0,0.0,236.0,"[1525, 1526, 1527, 1528, 1529, 1530, 1531, 1532, 1533, 1534, 1535, 1536, 1537, 1538, 1539, 1540, 1541, 1542]",1533.5,5.188127472091127,"[231, 232, 233, 234, 235, 236]",233.5,1.707825127659933,0.0116731517509727,0.0254237288135593,0.9613119415109668,0.9941653982749872,0.0,1778.0,"[1755, 1756, 1757, 1758, 1759, 1760, 1761, 1762, 1763, 1764, 1765, 1766, 1767, 1768, 1769, 1770, 1771, 1772, 1773, 1774, 1775, 1776, 1777, 1778]",1766.5,6.922186552431729,0.0134983127109111,0.9777445059128052
500.0,100.0,rbf,-1.0,0.2,1.0,0.001,0.0,1542.0,0.0,236.0,"[1525, 1526, 1527, 1528, 1529, 1530, 1531, 1532, 1533, 1534, 1535, 1536, 1537, 1538, 1539, 1540, 1541, 1542]",1533.5,5.188127472091127,"[231, 232, 233, 234, 235, 236]",233.5,1.707825127659933,0.0116731517509727,0.0254237288135593,0.9613119415109668,0.9941653982749872,0.0,1778.0,"[1755, 1756, 1757, 1758, 1759, 1760, 1761, 1762, 1763, 1764, 1765, 1766, 1767, 1768, 1769, 1770, 1771, 1772, 1773, 1774, 1775, 1776, 1777, 1778]",1766.5,6.922186552431729,0.0134983127109111,0.9777445059128052
500.0,100.0,rbf,-1.0,0.4,1.0,0.001,0.0,1542.0,0.0,236.0,"[1525, 1526, 1527, 1528, 1529, 1530, 1531, 1532, 1533, 1534, 1535, 1536, 1537, 1538, 1539, 1540, 1541, 1542]",1533.5,5.188127472091127,"[231, 232, 233, 234, 235, 236]",233.5,1.707825127659933,0.0116731517509727,0.0254237288135593,0.9613119415109668,0.9941653982749872,0.0,1778.0,"[1755, 1756, 1757, 1758, 1759, 1760, 1761, 1762, 1763, 1764, 1765, 1766, 1767, 1768, 1769, 1770, 1771, 1772, 1773, 1774, 1775, 1776, 1777, 1778]",1766.5,6.922186552431729,0.0134983127109111,0.9777445059128052
500.0,100.0,rbf,-1.0,0.6,1.0,0.001,0.0,1542.0,0.0,236.0,"[1525, 1526, 1527, 1528, 1529, 1530, 1531, 1532, 1533, 1534, 1535, 1536, 1537, 1538, 1539, 1540, 1541, 1542]",1533.5,5.188127472091127,"[231, 232, 233, 234, 235, 236]",233.5,1.707825127659933,0.0116731517509727,0.0254237288135593,0.9613119415109668,0.9941653982749872,0.0,1778.0,"[1755, 1756, 1757, 1758, 1759, 1760, 1761, 1762, 1763, 1764, 1765, 1766, 1767, 1768, 1769, 1770, 1771, 1772, 1773, 1774, 1775, 1776, 1777, 1778]",1766.5,6.922186552431729,0.0134983127109111,0.9777445059128052
500.0,100.0,rbf,-1.0,0.8,1.0,0.001,0.0,1542.0,0.0,236.0,"[1525, 1526, 1527, 1528, 1529, 1530, 1531, 1532, 1533, 1534, 1535, 1536, 1537, 1538, 1539, 1540, 1541, 1542]",1533.5,5.188127472091127,"[231, 232, 233, 234, 235, 236]",233.5,1.707825127659933,0.0116731517509727,0.0254237288135593,0.9613119415109668,0.9941653982749872,0.0,1778.0,"[1755, 1756, 1757, 1758, 1759, 1760, 1761, 1762, 1763, 1764, 1765, 1766, 1767, 1768, 1769, 1770, 1771, 1772, 1773, 1774, 1775, 1776, 1777, 1778]",1766.5,6.922186552431729,0.0134983127109111,0.9777445059128052
500.0,10.0,rbf,-1.0,0.2,1.0,0.001,0.0,889.0,0.0,58.0,"[872, 873, 874, 875, 876, 877, 878, 879, 880, 881, 882, 883, 884, 885, 886, 887, 888, 889]",880.5,5.188127472091127,"[53, 54, 55, 56, 57, 58]",55.5,1.707825127659933,0.0202474690663667,0.1034482758620689,0.9778889114541024,0.9986808726534754,0.0,947.0,"[924, 925, 926, 927, 928, 929, 930, 931, 932, 933, 934, 935, 936, 937, 938, 939, 940, 941, 942, 943, 944, 945, 946, 947]",935.5,6.922186552431729,0.0253431890179514,0.9882885854945948
500.0,10000.0,rbf,-1.0,0.2,1.0,0.001,0.0,1542.0,0.0,236.0,"[1525, 1526, 1527, 1528, 1529, 1530, 1531, 1532, 1533, 1534, 1535, 1536, 1537, 1538, 1539, 1540, 1541, 1542]",1533.5,5.188127472091127,"[231, 232, 233, 234, 235, 236]",233.5,1.707825127659933,0.0116731517509727,0.0254237288135593,0.9613119415109668,0.9941653982749872,0.0,1778.0,"[1755, 1756, 1757, 1758, 1759, 1760, 1761, 1762, 1763, 1764, 1765, 1766, 1767, 1768, 1769, 1770, 1771, 1772, 1773, 1774, 1775, 1776, 1777, 1778]",1766.5,6.922186552431729,0.0134983127109111,0.9777445059128052
500.0,10.0,rbf,-1.0,0.4,1.0,0.001,0.0,889.0,0.0,58.0,"[872, 873, 874, 875, 876, 877, 878, 879, 880, 881, 882, 883, 884, 885, 886, 887, 888, 889]",880.5,5.188127472091127,"[53, 54, 55, 56, 57, 58]",55.5,1.707825127659933,0.0202474690663667,0.1034482758620689,0.9778889114541024,0.9986808726534754,0.0,947.0,"[924, 925, 926, 927, 928, 929, 930, 931, 932, 933, 934, 935, 936, 937, 938, 939, 940, 941, 942, 943, 944, 945, 946, 947]",935.5,6.922186552431729,0.0253431890179514,0.9882885854945948
500.0,10.0,rbf,-1.0,0.6,1.0,0.001,0.0,889.0,0.0,58.0,"[872, 873, 874, 875, 876, 877, 878, 879, 880, 881, 882, 883, 884, 885, 886, 887, 888, 889]",880.5,5.188127472091127,"[53, 54, 55, 56, 57, 58]",55.5,1.707825127659933,0.0202474690663667,0.1034482758620689,0.9778889114541024,0.9986808726534754,0.0,947.0,"[924, 925, 926, 927, 928, 929, 930, 931, 932, 933, 934, 935, 936, 937, 938, 939, 940, 941, 942, 943, 944, 945, 946, 947]",935.5,6.922186552431729,0.0253431890179514,0.9882885854945948
500.0,10.0,rbf,-1.0,0.8,1.0,0.001,0.0,889.0,0.0,58.0,"[872, 873, 874, 875, 876, 877, 878, 879, 880, 881, 882, 883, 884, 885, 886, 887, 888, 889]",880.5,5.188127472091127,"[53, 54, 55, 56, 57, 58]",55.5,1.707825127659933,0.0202474690663667,0.1034482758620689,0.9778889114541024,0.9986808726534752,0.0,947.0,"[924, 925, 926, 927, 928, 929, 930, 931, 932, 933, 934, 935, 936, 937, 938, 939, 940, 941, 942, 943, 944, 945, 946, 947]",935.5,6.922186552431729,0.0253431890179514,0.9882885854945946
