algorithm,n_components,random_state,standardization,weighted,whiten,max_fraud_eval,min_detect_eval,max_fraud_test,min_detect_test,fraud_ranks_eval,rank_mean_eval,rank_std_eval,fraud_ranks_test,rank_mean_test,rank_std_test,auc_pr_eval,auc_pr_test,auc_roc_eval,auc_roc_test,max_fraud_joint,min_detect_joint,fraud_ranks_joint,rank_mean_joint,rank_std_joint,auc_pr_joint,auc_roc_joint
PCA,0.05,0.0,0.0,1.0,1.0,-23.166703651094352,12834.0,-40.6239095380494,372.0,"[3, 4, 6, 7, 9, 10, 13, 14, 19, 20, 34, 35, 40, 41, 5746, 5769, 12105, 12834]",2039.388888888889,4100.701906569559,"[1, 2, 3, 4, 365, 372]",124.5,172.54830241606746,0.3602740338234167,0.6716379437325084,0.8969390287932124,0.9938609842719432,-23.166703651094352,25560.0,"[3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 23, 24, 38, 39, 44, 45, 581, 589, 11732, 11800, 24546, 25560]",3130.875,7354.523632389456,0.4231715112510252,0.9208654773384763
PCA,0.4,0.0,0.0,0.0,1.0,-13.0012999361589,19509.0,-21.97808779090825,366.0,"[3, 4, 6, 7, 9, 10, 13, 14, 19, 20, 34, 35, 40, 41, 1860, 2668, 15940, 19509]",2235.111111111112,5554.510648401881,"[1, 2, 3, 4, 362, 366]",123.0,170.4190912622957,0.3607106898930514,0.6717009328865139,0.8870018729127177,0.9939370877727042,-13.0012999361589,39090.0,"[3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 23, 24, 38, 39, 44, 45, 576, 580, 3858, 5537, 32035, 39090]",3417.0416666666665,9832.474571876464,0.4234227131933029,0.9136034698607658
PCA,0.4,0.0,0.0,0.0,0.0,-13.0012999361589,19509.0,-21.97808779090825,366.0,"[3, 4, 6, 7, 9, 10, 13, 14, 19, 20, 34, 35, 40, 41, 1860, 2668, 15940, 19509]",2235.111111111112,5554.510648401881,"[1, 2, 3, 4, 362, 366]",123.0,170.4190912622957,0.3607106898930514,0.6717009328865139,0.8870018729127177,0.9939370877727042,-13.0012999361589,39090.0,"[3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 17, 18, 23, 24, 38, 39, 44, 45, 576, 580, 3858, 5537, 32035, 39090]",3417.0416666666665,9832.474571876464,0.4234227131933029,0.9136034698607658
PCA,0.6,0.0,0.0,1.0,1.0,-202.2727069709474,9918.0,-343.602694554085,366.0,"[2, 3, 5, 6, 8, 9, 12, 13, 18, 19, 33, 34, 39, 40, 1265, 1439, 9618, 9918]",1248.9444444444443,3041.131523192975,"[1, 2, 3, 4, 363, 366]",123.16666666666669,170.65307563071408,0.408122251257155,0.671694591217691,0.9370712609441284,0.9939286318281751,-202.2727069709474,19940.0,"[2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 16, 17, 22, 23, 37, 38, 43, 44, 577, 582, 2685, 3042, 19372, 19940]",1938.2083333333333,5400.084482203085,0.4575052410182242,0.951131595865266
PCA,0.6,0.0,0.0,1.0,0.0,-202.2727069709474,9918.0,-343.602694554085,366.0,"[2, 3, 5, 6, 8, 9, 12, 13, 18, 19, 33, 34, 39, 40, 1265, 1439, 9618, 9918]",1248.9444444444443,3041.131523192975,"[1, 2, 3, 4, 363, 366]",123.16666666666669,170.65307563071408,0.408122251257155,0.671694591217691,0.9370712609441284,0.9939286318281751,-202.2727069709474,19940.0,"[2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 16, 17, 22, 23, 37, 38, 43, 44, 577, 582, 2685, 3042, 19372, 19940]",1938.2083333333333,5400.084482203085,0.4575052410182242,0.951131595865266
PCA,0.6,0.0,0.0,0.0,1.0,-26.37890694325052,12624.0,-44.70668046645463,366.0,"[2, 3, 5, 6, 8, 9, 12, 13, 18, 19, 33, 34, 39, 40, 1700, 1720, 12573, 12624]",1603.2222222222222,3923.114558549899,"[1, 2, 3, 4, 363, 366]",123.16666666666669,170.65307563071408,0.4078080775305369,0.671694591217691,0.9190839651593103,0.9939286318281751,-26.37890694325052,25194.0,"[2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 16, 17, 22, 23, 37, 38, 43, 44, 576, 580, 3560, 3613, 25088, 25194]",2455.4166666666665,6909.6916532545465,0.4573631093868442,0.938006479554721
PCA,0.6,0.0,0.0,0.0,0.0,-26.37890694325052,12624.0,-44.70668046645463,366.0,"[2, 3, 5, 6, 8, 9, 12, 13, 18, 19, 33, 34, 39, 40, 1700, 1720, 12573, 12624]",1603.2222222222222,3923.114558549899,"[1, 2, 3, 4, 363, 366]",123.16666666666669,170.65307563071408,0.4078080775305369,0.671694591217691,0.9190839651593103,0.9939286318281751,-26.37890694325052,25194.0,"[2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 16, 17, 22, 23, 37, 38, 43, 44, 576, 580, 3560, 3613, 25088, 25194]",2455.4166666666665,6909.6916532545465,0.4573631093868442,0.938006479554721
PCA,0.8,0.0,0.0,1.0,1.0,-607.4535204861095,12914.0,-1050.8083705775118,362.0,"[2, 3, 5, 6, 8, 9, 12, 13, 18, 19, 33, 34, 39, 40, 1250, 1289, 12851, 12914]",1585.8333333333333,4013.0522361414633,"[1, 2, 3, 4, 361, 362]",122.16666666666669,169.2369312203719,0.4081539441538561,0.6717375001913041,0.9199668291362036,0.9939793674953492,-607.4535204861095,26199.0,"[2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 16, 17, 22, 23, 37, 38, 43, 44, 577, 578, 2662, 2735, 26130, 26199]",2466.6666666666665,7183.256646922449,0.4575270148187997,0.9377209900353584
PCA,0.8,0.0,0.0,1.0,0.0,-607.4535204861095,12914.0,-1050.8083705775118,362.0,"[2, 3, 5, 6, 8, 9, 12, 13, 18, 19, 33, 34, 39, 40, 1250, 1289, 12851, 12914]",1585.8333333333333,4013.0522361414633,"[1, 2, 3, 4, 361, 362]",122.16666666666669,169.2369312203719,0.4081539441538561,0.6717375001913041,0.9199668291362036,0.9939793674953492,-607.4535204861095,26199.0,"[2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 16, 17, 22, 23, 37, 38, 43, 44, 577, 578, 2662, 2735, 26130, 26199]",2466.6666666666665,7183.256646922449,0.4575270148187997,0.9377209900353584
PCA,0.8,0.0,0.0,0.0,1.0,-46.004657190048455,12984.0,-78.94036814361587,364.0,"[2, 3, 5, 6, 8, 9, 12, 13, 18, 19, 33, 34, 39, 40, 1572, 1580, 12983, 12984]",1631.111111111111,4043.0137945856527,"[1, 2, 3, 4, 363, 364]",122.83333333333331,170.17972525800155,0.4078892152540463,0.6717096035277853,0.9176679980142612,0.9939455437172332,-46.004657190048455,26347.0,"[2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 16, 17, 22, 23, 37, 38, 43, 44, 579, 580, 3326, 3335, 26346, 26347]",2534.6666666666665,7236.920193624417,0.4573908684461444,0.9359953644961004
